Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,155.55,156.07,153.53,154.78,154.78,7297377
2014-01-03,155.89,159.29,154.08,156.88,156.88,17827160
2014-01-06,155.8,158.79,154.16,155.78,155.78,6102053
2014-01-07,156.8,158.71,155.62,157.9,157.9,19602222
2014-01-08,157.27,159.88,154.17,158.54,158.54,9463160
2014-01-09,158.58,162.87,155.89,160.73,160.73,15023058
2014-01-10,160.92,163.97,158.19,160.56,160.56,15740072
2014-01-13,160.4,161.91,156.72,158.03,158.03,9058551
2014-01-14,157.51,160.43,157.34,159.82,159.82,6810987
2014-01-15,160.15,162.79,156.72,158.92,158.92,14210661
2014-01-16,160.02,161.98,157.49,160.67,160.67,8306920
2014-01-17,160.21,161.07,159.6,159.8,159.8,10467537
2014-01-20,159.4,160.74,154.69,157.07,157.07,17194827
2014-01-21,155.84,157.43,153.84,154.39,154.39,13254773
2014-01-22,153.36,155.57,148.32,151.15,151.15,17453645
2014-01-23,150.37,152.74,148.93,149.66,149.66,13106220
2014-01-24,148.94,152.31,147.15,149.85,149.85,7379700
2014-01-27,148.74,151.77,146.09,150.25,150.25,9336530
2014-01-28,149.37,152.27,148.77,150.84,150.84,18061921
2014-01-29,150.4,155.53,148.09,152.5,152.5,3245702
2014-01-30,153.35,154.22,152.01,153.7,153.7,7566859
2014-01-31,153.64,154.94,151.6,153.23,153.23,9777132
2014-02-03,152.63,155.45,152.13,154.37,154.37,15522698
2014-02-04,153.65,157.39,153.17,154.47,154.47,19189164
2014-02-05,153.84,154.47,151.52,153.22,153.22,3725621
2014-02-06,153.99,154.71,153.02,154.54,154.54,3938129
2014-02-07,155.58,156.31,154.74,156.06,156.06,16861568
2014-02-10,155.31,156.88,152.77,155.67,155.67,18949397
2014-02-11,154.75,157.69,153.88,157.07,157.07,2512723
2014-02-12,157.28,159.71,156.66,159.44,159.44,12269892
2014-02-13,160.22,165.64,159.36,162.4,162.4,2249462
2014-02-14,162.52,163.04,160.4,162.28,162.28,19353683
2014-02-17,162.93,165.3,160.58,162.02,162.02,17527530
2014-02-18,161.93,163.8,160.24,160.48,160.48,7097534
2014-02-19,160.55,161.9,158.94,159.46,159.46,5397147
2014-02-20,158.38,162.85,155.61,160.74,160.74,17616831
2014-02-21,160.55,161.19,158.12,159.33,159.33,15132552
2014-02-24,158.61,159.57,157.5,158.88,158.88,18145788
2014-02-25,158.35,162.96,157.69,160.57,160.57,5624396
2014-02-26,161.8,167.11,159.73,164.17,164.17,11552086
2014-02-27,164.12,165.32,162.41,163.52,163.52,15826898
2014-02-28,162.29,166.34,162.08,163.57,163.57,13261604
2014-03-03,164.66,167.61,163.97,164.48,164.48,2373256
2014-03-04,165.6,168.89,163.2,165.27,165.27,13035718
2014-03-05,164.3,165.16,161.76,164.32,164.32,3668463
2014-03-06,164.34,165.76,160.11,163.13,163.13,12136718
2014-03-07,163.47,165.46,161.4,161.81,161.81,11755864
2014-03-10,160.82,163.17,159.38,160.91,160.91,13055823
2014-03-11,159.97,161.67,156.6,157.74,157.74,10137440
2014-03-12,158.56,161.12,155.44,159.68,159.68,9178449
2014-03-13,159.32,161.34,155.68,157.39,157.39,10766621
2014-03-14,157.48,158.84,154.4,157.42,157.42,9938482
2014-03-17,157.3,160.72,156.89,158.58,158.58,15098197
2014-03-18,158.95,161.17,154.44,157.32,157.32,4237339
2014-03-19,156.92,161.09,154.46,159.22,159.22,5230396
2014-03-20,159.38,162.24,155.59,157.66,157.66,18244385
