Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,149.85,150.27,145.57,147.78,147.78,98757625
2014-01-03,146.97,149.7,143.65,144.85,144.85,81302016
2014-01-06,145.93,148.29,143.3,144.23,144.23,109155016
2014-01-07,143.86,144.68,140.7,143.37,143.37,45381388
2014-01-08,142.61,144.67,139.0,141.41,141.41,34450466
2014-01-09,142.45,142.83,140.37,141.35,141.35,39554870
2014-01-10,142.4,144.91,139.32,141.56,141.56,117548239
2014-01-13,142.06,143.39,140.09,141.96,141.96,73125010
2014-01-14,141.7,144.2,140.68,141.57,141.57,119323717
2014-01-15,141.76,145.39,139.64,143.15,143.15,62435030
2014-01-16,144.03,148.21,143.26,145.61,145.61,77075993
2014-01-17,145.83,147.68,142.49,145.31,145.31,64035838
2014-01-20,145.24,145.74,143.6,143.79,143.79,67593568
2014-01-21,143.59,144.17,141.41,143.61,143.61,108820607
2014-01-22,143.48,146.38,142.2,145.24,145.24,106646337
2014-01-23,146.08,149.34,144.13,147.91,147.91,91554663
2014-01-24,148.67,150.86,147.28,147.79,147.79,74646249
2014-01-27,148.42,152.05,145.99,150.07,150.07,95058928
2014-01-28,150.59,153.41,148.16,151.42,151.42,60370764
2014-01-29,151.32,153.75,151.13,151.33,151.33,78472658
2014-01-30,152.12,156.95,149.21,154.04,154.04,108666510
2014-01-31,154.64,156.3,151.58,154.63,154.63,70967031
2014-02-03,153.5,155.7,151.22,151.38,151.38,115954350
2014-02-04,152.57,155.81,149.7,153.56,153.56,31580179
2014-02-05,153.51,156.93,152.0,154.13,154.13,111699573
2014-02-06,154.82,157.59,150.44,152.94,152.94,38864827
2014-02-07,152.01,154.52,150.43,151.31,151.31,109767477
2014-02-10,150.63,154.59,148.4,152.68,152.68,95061767
2014-02-11,153.63,154.24,151.11,152.58,152.58,69802966
2014-02-12,153.33,153.57,151.74,151.91,151.91,66933150
2014-02-13,152.61,155.93,149.68,153.67,153.67,63413405
2014-02-14,154.73,156.46,152.25,153.3,153.3,86011971
2014-02-17,153.77,156.21,152.79,153.55,153.55,74674190
2014-02-18,152.46,154.04,149.84,152.62,152.62,97419025
2014-02-19,152.3,153.22,150.79,152.06,152.06,119642052
2014-02-20,152.44,154.05,149.03,152.0,152.0,89588279
2014-02-21,151.12,151.79,150.15,150.83,150.83,97110842
2014-02-24,151.03,152.19,149.79,150.36,150.36,84360677
2014-02-25,150.37,152.13,148.05,149.55,149.55,33671297
2014-02-26,149.26,150.04,147.8,149.25,149.25,111480308
2014-02-27,149.02,150.28,146.62,147.61,147.61,59095052
