Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,259.73,263.63,256.15,261.38,261.38,10233648
2014-01-03,261.69,265.65,257.25,260.89,260.89,9387698
2014-01-06,262.43,266.9,259.52,260.3,260.3,4793870
2014-01-07,259.91,261.53,253.1,258.01,258.01,9537879
2014-01-08,256.41,259.73,249.73,254.55,254.55,11706062
2014-01-09,252.99,258.01,248.45,256.47,256.47,7434467
2014-01-10,258.06,259.41,253.36,255.35,255.35,2552425
2014-01-13,257.0,261.87,255.37,257.59,257.59,4321159
2014-01-14,258.19,258.66,253.64,257.05,257.05,4302333
2014-01-15,258.95,262.01,258.19,258.75,258.75,19178483
2014-01-16,259.12,263.09,253.3,255.44,255.44,4556145
2014-01-17,253.63,258.36,252.21,253.46,253.46,5950993
2014-01-20,251.96,254.92,249.74,251.51,251.51,8183571
2014-01-21,250.98,253.97,249.19,250.26,250.26,10743786
2014-01-22,248.46,249.63,242.16,244.74,244.74,12810134
2014-01-23,243.71,248.8,242.2,245.65,245.65,2667511
2014-01-24,244.7,248.21,241.05,244.61,244.61,14294225
2014-01-27,243.46,247.31,236.95,240.26,240.26,10173784
2014-01-28,238.39,240.99,234.13,239.71,239.71,17775572
2014-01-29,241.17,246.6,238.38,243.21,243.21,11402011
2014-01-30,242.69,245.88,236.52,240.6,240.6,4782440
2014-01-31,239.66,243.04,237.77,241.25,241.25,16368522
2014-02-03,242.91,246.06,236.4,240.16,240.16,14127784
2014-02-04,238.7,241.6,234.8,235.37,235.37,12033206
2014-02-05,237.17,242.08,234.66,239.7,239.7,15373298
2014-02-06,238.54,239.66,237.29,237.77,237.77,6434183
2014-02-07,237.06,242.33,234.44,238.68,238.68,7385073
2014-02-10,238.35,242.99,231.47,235.42,235.42,2343407
2014-02-11,236.77,239.11,234.22,235.9,235.9,3697518
2014-02-12,237.03,240.98,230.91,234.11,234.11,2898129
2014-02-13,235.51,241.78,232.82,238.05,238.05,17082841
2014-02-14,239.72,243.97,235.61,237.98,237.98,18626404
2014-02-17,237.07,240.08,231.39,235.02,235.02,9314688
2014-02-18,233.26,236.12,230.71,234.45,234.45,16827361
2014-02-19,235.52,238.54,228.65,232.99,232.99,19001960
2014-02-20,231.46,233.96,229.53,229.94,229.94,5840729
2014-02-21,228.16,232.39,221.47,225.86,225.86,11400461
2014-02-24,225.75,230.74,221.25,229.09,229.09,9956043
2014-02-25,227.85,229.57,225.95,227.79,227.79,12068462
2014-02-26,227.33,233.81,224.95,230.14,230.14,9325642
2014-02-27,230.84,235.86,227.67,232.56,232.56,2641301
2014-02-28,233.23,234.49,229.23,232.45,232.45,11214978
2014-03-03,232.99,235.31,230.32,234.45,234.45,4314760
2014-03-04,235.17,239.26,229.86,233.21,233.21,12854572
2014-03-05,231.41,236.9,230.65,232.47,232.47,2234747
2014-03-06,232.59,235.3,228.56,233.61,233.61,4557704
2014-03-07,233.58,238.29,231.81,234.18,234.18,11588272
2014-03-10,232.86,233.98,231.76,233.35,233.35,4416100
2014-03-11,234.92,239.14,231.67,232.32,232.32,15271773
2014-03-12,232.21,237.84,228.96,234.91,234.91,16953120
2014-03-13,235.14,240.44,231.32,236.46,236.46,4917961
2014-03-14,237.67,240.83,234.48,237.64,237.64,3895140
2014-03-17,237.16,242.16,234.07,239.29,239.29,7334472
2014-03-18,240.63,242.03,238.84,240.74,240.74,4675534
2014-03-19,240.35,242.18,236.16,240.33,240.33,9678563
2014-03-20,241.24,242.96,239.08,240.09,240.09,9886481
2014-03-21,240.01,243.78,236.64,237.87,237.87,6695098
2014-03-24,237.77,241.84,237.3,238.09,238.09,5645074
2014-03-25,237.73,240.93,234.37,240.45,240.45,10029543
2014-03-26,238.63,243.97,235.92,242.06,242.06,8922677
2014-03-27,240.3,245.01,238.64,240.32,240.32,17072499
2014-03-28,240.55,244.37,238.16,241.89,241.89,17764312
2014-03-31,240.4,240.65,238.0,239.07,239.07,9121154
2014-04-01,238.03,242.4,234.67,237.2,237.2,6245754
2014-04-02,237.99,239.91,234.99,235.67,235.67,9950911
2014-04-03,234.49,241.91,233.85,237.55,237.55,9179606
2014-04-04,237.61,240.56,232.76,234.66,234.66,4784509
2014-04-07,236.37,237.79,236.03,237.24,237.24,6421026
2014-04-08,237.38,241.83,234.4,238.66,238.66,12691775
2014-04-09,237.71,243.15,233.53,241.12,241.12,18444877
2014-04-10,242.25,243.47,235.59,239.66,239.66,16254230
2014-04-11,239.18,241.09,235.92,237.73,237.73,10767703
2014-04-14,236.87,241.36,232.45,234.15,234.15,15104284
2014-04-15,235.01,237.37,231.24,234.76,234.76,9397677
2014-04-16,235.82,239.47,231.13,238.82,238.82,9363010
2014-04-17,237.94,243.9,234.28,240.39,240.39,14907300
2014-04-18,242.3,245.51,236.44,240.07,240.07,2582492
2014-04-21,240.29,241.24,234.98,237.84,237.84,11327027
2014-04-22,237.27,243.73,233.23,239.84,239.84,5223058
2014-04-23,240.6,240.89,233.19,237.24,237.24,16768835
2014-04-24,236.58,240.56,233.25,233.92,233.92,3155312
2014-04-25,233.55,236.62,232.11,236.28,236.28,7313894
2014-04-28,237.6,241.85,236.68,240.05,240.05,19772304
2014-04-29,241.18,241.89,236.67,238.0,238.0,11235312
2014-04-30,239.67,242.86,237.81,238.34,238.34,19793380
2014-05-01,238.01,244.43,235.62,239.83,239.83,10875720
2014-05-02,241.51,242.6,239.25,242.04,242.04,10372782
2014-05-05,241.19,243.42,236.94,237.65,237.65,19069189
2014-05-06,238.64,240.75,235.0,240.23,240.23,13725495
2014-05-07,240.54,244.44,237.33,242.81,242.81,10480038
2014-05-08,241.36,246.11,239.04,239.9,239.9,13429330
2014-05-09,238.01,240.91,235.25,237.96,237.96,8690499
2014-05-12,236.36,237.63,229.67,233.84,233.84,5959080
2014-05-13,234.57,237.19,226.74,231.12,231.12,8048143
2014-05-14,232.74,236.1,228.13,230.66,230.66,16463486
2014-05-15,232.46,236.89,228.97,234.81,234.81,9983548
