Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,118.54,119.68,116.32,118.41,118.41,4653547
2014-01-03,118.56,120.44,117.76,120.02,120.02,16538382
2014-01-06,119.62,122.0,116.76,119.07,119.07,9838691
2014-01-07,118.72,120.15,116.4,119.65,119.65,13539046
2014-01-08,119.38,120.66,117.21,118.88,118.88,2348098
2014-01-09,119.41,121.63,117.35,117.91,117.91,16597109
2014-01-10,118.5,120.51,116.18,116.81,116.81,18494886
2014-01-13,117.35,119.32,115.58,116.48,116.48,12294877
2014-01-14,116.03,117.31,114.29,116.7,116.7,19893664
2014-01-15,117.18,118.14,115.97,117.58,117.58,12197278
2014-01-16,117.37,117.61,116.65,117.14,117.14,17550591
2014-01-17,116.97,118.59,115.95,116.98,116.98,18561022
2014-01-20,117.38,118.18,115.9,116.21,116.21,6532731
2014-01-21,117.01,118.75,115.35,117.21,117.21,16833776
2014-01-22,117.21,120.28,116.4,118.16,118.16,2340816
2014-01-23,118.28,120.05,115.42,117.45,117.45,18187589
2014-01-24,117.87,120.29,115.54,119.44,119.44,15784634
2014-01-27,120.31,121.67,118.57,120.48,120.48,4489524
2014-01-28,120.98,124.28,120.59,122.35,122.35,3398241
2014-01-29,121.95,123.98,121.31,121.84,121.84,12065569
2014-01-30,121.71,122.6,119.87,120.83,120.83,9274868
2014-01-31,121.77,123.99,120.12,121.66,121.66,6060898
2014-02-03,121.03,124.04,119.79,121.95,121.95,3166516
2014-02-04,122.45,125.39,121.09,124.13,124.13,8077805
2014-02-05,124.39,125.03,122.12,124.73,124.73,18845622
2014-02-06,124.91,126.89,122.67,124.64,124.64,18499902
2014-02-07,125.23,126.87,124.94,125.82,125.82,9150215
2014-02-10,126.27,128.72,123.29,125.02,125.02,16071749
2014-02-11,125.03,125.74,122.73,125.06,125.06,15983597
2014-02-12,125.06,127.3,124.17,126.38,126.38,10982607
2014-02-13,125.48,127.21,123.38,126.34,126.34,7362137
2014-02-14,125.58,129.12,125.28,126.79,126.79,14509286
2014-02-17,126.23,127.09,124.79,126.63,126.63,17421623
2014-02-18,125.78,126.62,124.91,125.74,125.74,5177204
2014-02-19,124.9,126.61,123.4,125.68,125.68,16401103
2014-02-20,126.55,128.67,124.97,126.43,126.43,14188738
2014-02-21,127.25,127.88,123.96,125.76,125.76,12636044
