Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,127.18,128.04,124.63,125.66,125.66,18281021
2014-01-03,125.59,126.97,123.37,126.33,126.33,3496671
2014-01-06,125.94,127.6,124.23,124.46,124.46,11570252
2014-01-07,124.56,126.26,123.53,125.5,125.5,17483528
2014-01-08,124.59,126.12,123.19,124.57,124.57,10185365
2014-01-09,124.66,125.96,121.38,123.5,123.5,16360682
2014-01-10,123.78,125.12,121.47,122.63,122.63,17220603
2014-01-13,123.35,125.49,120.39,122.82,122.82,16010095
2014-01-14,123.27,125.09,121.41,124.71,124.71,5785755
2014-01-15,125.42,125.9,124.89,125.36,125.36,18782698
2014-01-16,125.66,125.99,122.18,124.67,124.67,17727481
2014-01-17,123.81,125.38,121.98,124.63,124.63,18503806
2014-01-20,123.71,124.56,122.29,123.66,123.66,12573023
2014-01-21,123.48,124.99,122.93,124.04,124.04,4272289
2014-01-22,123.1,125.81,122.12,124.36,124.36,9701936
2014-01-23,123.6,124.07,121.04,122.52,122.52,8320420
2014-01-24,122.67,123.02,119.43,121.75,121.75,3097681
2014-01-27,121.28,121.91,120.67,121.47,121.47,8029734
2014-01-28,122.41,125.84,121.1,123.45,123.45,19873010
2014-01-29,124.12,126.91,123.35,125.18,125.18,18730294
2014-01-30,125.98,128.69,124.76,126.64,126.64,8205418
2014-01-31,126.79,127.26,125.44,127.07,127.07,3364171
2014-02-03,127.15,129.06,123.94,125.28,125.28,14227600
2014-02-04,124.94,128.74,124.58,126.76,126.76,11813551
2014-02-05,126.59,129.29,125.94,127.54,127.54,15213015
2014-02-06,128.41,130.13,127.83,129.99,129.99,3291579
2014-02-07,130.39,132.73,128.37,131.35,131.35,4489062
2014-02-10,131.39,132.95,130.39,130.83,130.83,9283890
2014-02-11,130.28,130.73,128.03,130.33,130.33,6418042
2014-02-12,131.34,132.89,129.69,130.9,130.9,18145279
2014-02-13,130.2,131.68,129.45,130.59,130.59,16963030
2014-02-14,130.86,133.08,130.51,131.88,131.88,19671666
