Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,141.06,142.58,139.28,141.56,141.56,29399397
2014-01-03,141.98,142.3,140.28,142.12,142.12,41921044
2014-01-06,142.08,144.62,139.36,142.94,142.94,27928102
2014-01-07,143.62,144.62,141.57,143.92,143.92,23429975
2014-01-08,143.3,145.05,140.96,142.83,142.83,16341442
2014-01-09,143.15,145.86,141.71,144.4,144.4,44062645
2014-01-10,144.46,147.7,144.04,145.23,145.23,17993550
2014-01-13,146.34,148.35,144.83,145.36,145.36,13678632
2014-01-14,144.9,147.67,142.51,147.05,147.05,32204087
2014-01-15,148.14,151.75,147.89,148.84,148.84,13924956
2014-01-16,148.79,149.68,144.96,146.86,146.86,45772312
2014-01-17,145.78,146.33,145.13,145.75,145.75,39511075
2014-01-20,144.92,145.56,142.22,145.28,145.28,35380393
2014-01-21,144.14,146.0,143.03,144.76,144.76,41515874
2014-01-22,144.86,146.38,142.86,145.53,145.53,37093648
2014-01-23,144.82,146.27,142.44,145.11,145.11,21944217
2014-01-24,144.03,144.96,140.74,142.89,142.89,44867623
2014-01-27,143.71,145.37,143.44,144.64,144.64,30043407
2014-01-28,143.92,145.45,139.34,142.01,142.01,11949822
2014-01-29,142.01,143.79,140.23,141.77,141.77,46045551
2014-01-30,141.75,143.2,140.28,142.39,142.39,34722954
2014-01-31,141.31,141.75,140.37,141.42,141.42,36863190
2014-02-03,140.68,141.45,139.36,140.06,140.06,33945051
2014-02-04,140.92,142.9,138.78,141.32,141.32,28963618
2014-02-05,140.28,140.82,138.2,139.0,139.0,24344135
2014-02-06,138.28,140.99,136.4,139.78,139.78,18703200
2014-02-07,140.34,141.29,139.87,140.93,140.93,11324710
2014-02-10,141.57,142.9,138.49,140.47,140.47,26859158
2014-02-11,141.34,142.61,140.05,141.08,141.08,44938810
2014-02-12,141.49,142.96,139.9,142.77,142.77,13062341
2014-02-13,143.14,146.15,141.0,144.41,144.41,33976675
2014-02-14,143.37,146.82,141.71,144.93,144.93,33662584
2014-02-17,146.06,146.52,144.6,145.32,145.32,24071217
2014-02-18,145.66,148.53,142.32,144.05,144.05,24145562
2014-02-19,144.75,147.74,142.68,146.85,146.85,46478526
2014-02-20,146.7,147.37,143.93,145.01,145.01,25109051
2014-02-21,145.25,146.73,141.59,143.52,143.52,35256087
2014-02-24,144.36,145.7,143.69,145.34,145.34,40050282
2014-02-25,144.65,145.41,140.67,142.52,142.52,13811247
2014-02-26,143.65,144.92,143.13,144.1,144.1,30156640
2014-02-27,143.22,144.12,140.16,141.22,141.22,21207211
2014-02-28,141.77,142.71,137.78,139.81,139.81,34812805
2014-03-03,138.71,139.07,136.42,137.36,137.36,22684143
2014-03-04,137.99,141.08,137.62,139.7,139.7,42118980
2014-03-05,139.76,141.09,138.59,138.94,138.94,47980401
2014-03-06,139.87,140.37,135.38,137.9,137.9,43297905
2014-03-07,138.29,140.77,136.4,137.94,137.94,35430926
2014-03-10,138.1,141.36,137.67,139.79,139.79,27152065
2014-03-11,139.88,142.65,139.08,141.05,141.05,20813494
2014-03-12,142.08,143.7,141.88,143.03,143.03,22802211
2014-03-13,144.06,145.26,142.08,142.87,142.87,17884865
2014-03-14,142.33,144.2,141.32,142.66,142.66,25452591
2014-03-17,143.43,147.32,142.06,145.31,145.31,40248158
2014-03-18,144.4,145.43,141.36,143.33,143.33,42475565
2014-03-19,142.73,143.24,138.11,140.65,140.65,45194347
2014-03-20,141.16,143.43,137.85,139.38,139.38,44173856
2014-03-21,138.85,139.42,136.99,137.55,137.55,11023273
2014-03-24,138.06,139.75,136.56,137.0,137.0,38276855
2014-03-25,136.57,140.68,135.91,138.39,138.39,18260209
2014-03-26,139.38,140.11,135.44,137.3,137.3,34054872
2014-03-27,137.26,139.02,134.96,136.5,136.5,34232181
2014-03-28,137.58,139.12,136.55,137.79,137.79,11476922
2014-03-31,138.19,138.71,136.23,138.49,138.49,40506584
2014-04-01,138.46,141.3,137.96,139.36,139.36,18412096
2014-04-02,139.56,143.65,138.1,141.06,141.06,18630058
2014-04-03,141.75,143.87,139.84,140.7,140.7,44238633
2014-04-04,139.9,144.41,139.62,141.69,141.69,30760242
2014-04-07,140.79,142.17,138.48,139.52,139.52,27042938
2014-04-08,139.46,142.26,137.9,141.52,141.52,27759515
2014-04-09,142.55,145.06,139.74,144.1,144.1,43945415
2014-04-10,143.5,144.9,139.98,142.29,142.29,28103170
2014-04-11,142.81,145.17,142.48,143.17,143.17,10033140
2014-04-14,143.94,146.17,140.13,142.66,142.66,11921739
2014-04-15,142.01,144.51,138.75,139.95,139.95,37784837
2014-04-16,140.07,141.04,137.86,138.82,138.82,12524615
2014-04-17,138.37,139.54,136.12,138.35,138.35,43780550
2014-04-18,137.6,139.4,134.47,137.03,137.03,35927830
2014-04-21,136.38,139.67,135.73,137.74,137.74,32072142
2014-04-22,138.11,141.73,137.03,139.36,139.36,24240351
2014-04-23,138.59,140.35,137.39,138.44,138.44,25911349
2014-04-24,137.6,139.32,135.12,137.17,137.17,41359386
2014-04-25,138.18,139.77,136.73,137.81,137.81,41095221
2014-04-28,137.75,141.16,136.1,139.08,139.08,33864230
2014-04-29,138.0,140.71,135.25,136.61,136.61,40800621
2014-04-30,137.46,140.95,137.14,138.64,138.64,17088433
2014-05-01,139.7,142.6,138.61,140.86,140.86,10778354
2014-05-02,141.04,143.33,137.85,139.43,139.43,48804670
2014-05-05,140.47,141.51,138.11,139.08,139.08,40004618
2014-05-06,139.61,140.25,135.85,137.73,137.73,32817103
2014-05-07,137.41,138.24,135.05,137.39,137.39,44265094
2014-05-08,137.36,138.46,135.28,135.93,135.93,17028952
2014-05-09,135.71,136.09,131.73,134.31,134.31,42848578
2014-05-12,135.07,137.33,132.36,134.05,134.05,43142129
2014-05-13,134.81,137.23,134.58,134.76,134.76,35845387
2014-05-14,134.89,135.97,133.54,134.53,134.53,36814268
2014-05-15,133.69,135.07,131.34,132.35,132.35,14499398
2014-05-16,132.53,134.61,130.74,132.31,132.31,30575197
2014-05-19,132.47,133.18,130.76,131.6,131.6,48056950
2014-05-20,131.0,132.48,128.43,129.79,129.79,45562662
2014-05-21,130.64,131.69,128.0,129.81,129.81,40577459
2014-05-22,129.2,130.99,128.02,129.02,129.02,48099792
2014-05-23,129.85,131.42,127.34,128.55,128.55,43505566
2014-05-26,128.51,132.1,126.15,129.78,129.78,22269306
2014-05-27,130.02,131.28,129.44,130.9,130.9,47352386
2014-05-28,129.89,131.47,127.21,128.03,128.03,17482787
2014-05-29,128.74,129.19,127.37,128.56,128.56,23272570
2014-05-30,129.25,131.78,127.08,129.34,129.34,30258607
2014-06-02,128.75,130.84,127.01,129.98,129.98,31735600
2014-06-03,130.27,130.66,127.86,129.8,129.8,34356923
2014-06-04,130.42,131.06,128.59,130.42,130.42,35383822
2014-06-05,131.18,132.0,128.58,130.41,130.41,14974574
2014-06-06,130.3,131.28,127.71,129.41,129.41,23105115
2014-06-09,129.39,132.69,128.85,130.89,130.89,10942403
2014-06-10,130.5,132.52,129.26,129.94,129.94,26526335
2014-06-11,130.02,130.63,129.61,129.89,129.89,47540731
2014-06-12,130.25,131.37,127.63,130.08,130.08,17803880
2014-06-13,130.69,133.66,128.09,131.55,131.55,16276648
2014-06-16,131.4,134.85,130.38,132.38,132.38,16792443
2014-06-17,131.91,134.33,128.06,130.38,130.38,26651495
2014-06-18,129.88,133.42,127.64,131.75,131.75,10118633
2014-06-19,130.71,133.25,130.12,131.61,131.61,33662679
2014-06-20,132.59,135.54,131.12,134.34,134.34,31349774
2014-06-23,134.39,135.54,133.7,134.77,134.77,26928595
2014-06-24,134.62,137.42,133.59,136.02,136.02,22004372
2014-06-25,136.94,138.42,134.65,137.73,137.73,18015874
2014-06-26,137.82,138.41,136.92,137.99,137.99,22600665
2014-06-27,137.05,139.39,134.23,135.24,135.24,37636395
2014-06-30,134.36,137.0,131.24,132.67,132.67,35091967
2014-07-01,131.96,134.49,131.13,133.49,133.49,36852303
2014-07-02,132.59,133.85,132.42,132.98,132.98,48863254
2014-07-03,133.67,134.95,131.45,133.19,133.19,43041403
2014-07-04,133.33,135.76,132.5,134.71,134.71,11362933
2014-07-07,135.16,136.19,132.66,134.83,134.83,35201197
2014-07-08,133.82,134.8,132.11,133.27,133.27,41423292
2014-07-09,133.42,136.52,131.64,135.31,135.31,17619038
2014-07-10,135.55,137.66,135.38,137.0,137.0,42128733
2014-07-11,138.03,139.71,135.47,139.09,139.09,14031711
2014-07-14,138.5,142.44,137.91,140.41,140.41,39578462
2014-07-15,140.9,142.01,139.04,141.63,141.63,11402721
2014-07-16,141.73,143.71,141.15,143.02,143.02,30806086
2014-07-17,142.15,143.26,141.0,142.97,142.97,41984640
2014-07-18,143.71,145.02,140.92,143.7,143.7,31170304
2014-07-21,142.77,146.57,141.71,144.53,144.53,23884023
2014-07-22,144.8,147.54,142.14,143.34,143.34,16998677
2014-07-23,142.91,144.9,139.92,141.15,141.15,35819105
2014-07-24,141.48,141.71,139.05,140.31,140.31,23900728
2014-07-25,140.76,143.59,138.49,140.81,140.81,10363042
2014-07-28,140.56,142.16,139.78,140.51,140.51,21999359
2014-07-29,140.68,144.64,137.87,142.01,142.01,40533060
2014-07-30,143.08,145.96,141.08,144.74,144.74,27900778
2014-07-31,144.95,147.96,142.54,145.88,145.88,29172234
2014-08-01,145.95,148.92,144.22,146.42,146.42,18465948
2014-08-04,145.78,149.01,143.51,146.47,146.47,30447599
2014-08-05,147.56,149.56,146.14,147.98,147.98,13328333
2014-08-06,149.08,150.87,146.26,147.38,147.38,49605452
2014-08-07,147.31,148.28,143.53,145.77,145.77,12027153
2014-08-08,146.08,147.1,145.36,146.31,146.31,37998499
2014-08-11,145.98,149.48,143.23,147.38,147.38,23750397
2014-08-12,147.7,147.97,143.75,146.22,146.22,16215446
2014-08-13,145.41,147.01,144.09,144.87,144.87,25493698
2014-08-14,143.75,145.83,141.27,142.54,142.54,49887779
2014-08-15,142.58,144.21,140.88,141.62,141.62,28979100
2014-08-18,141.46,142.15,139.43,141.96,141.96,27099579
2014-08-19,142.26,144.77,141.45,143.45,143.45,40594514
2014-08-20,144.42,145.9,142.23,144.68,144.68,10469270
2014-08-21,144.64,147.12,142.18,144.52,144.52,44592658
2014-08-22,145.21,146.79,141.35,143.73,143.73,22756658
2014-08-25,143.96,144.51,141.94,144.03,144.03,15406882
2014-08-26,144.05,147.78,143.52,146.11,146.11,27959180
2014-08-27,145.61,148.19,142.31,144.98,144.98,12526757
2014-08-28,144.73,146.33,141.6,143.42,143.42,15200565
2014-08-29,142.77,143.82,141.22,142.79,142.79,31204872
2014-09-01,143.76,144.58,139.68,142.16,142.16,40812404
2014-09-02,142.03,143.27,141.19,142.14,142.14,33600333
2014-09-03,142.02,145.95,139.42,143.97,143.97,37748976
2014-09-04,143.5,145.98,141.98,143.75,143.75,22837223
2014-09-05,144.26,147.68,143.14,145.59,145.59,11502390
2014-09-08,145.8,147.05,143.57,145.16,145.16,19647687
2014-09-09,146.03,148.07,144.66,146.47,146.47,11559768
2014-09-10,147.1,150.04,145.26,146.82,146.82,42963055
2014-09-11,145.91,148.64,145.05,145.41,145.41,35522080
2014-09-12,144.68,145.47,141.8,144.16,144.16,39321026
2014-09-15,143.66,145.17,141.2,144.4,144.4,14826066
2014-09-16,143.26,144.41,142.75,144.21,144.21,35279138
2014-09-17,145.25,148.19,142.48,147.22,147.22,30068545
2014-09-18,147.16,150.38,144.85,148.28,148.28,35790790
2014-09-19,147.53,148.94,146.02,147.38,147.38,25072693
2014-09-22,147.37,149.78,144.11,146.71,146.71,24466803
2014-09-23,147.0,148.64,144.36,147.88,147.88,45431219
2014-09-24,148.88,149.4,146.67,148.99,148.99,30612004
2014-09-25,148.68,150.94,146.25,149.15,149.15,17774032
2014-09-26,148.0,149.17,146.37,148.19,148.19,41823564
2014-09-29,149.11,149.95,146.99,149.3,149.3,34624893
2014-09-30,149.57,152.6,147.4,151.41,151.41,24185361
2014-10-01,150.9,152.2,148.55,149.52,149.52,14268277
2014-10-02,148.69,151.15,144.52,147.11,147.11,22798144
2014-10-03,147.32,149.35,145.16,147.15,147.15,23876955
2014-10-06,147.76,149.33,146.79,146.95,146.95,37681339
2014-10-07,146.85,148.38,145.31,145.7,145.7,39742180
2014-10-08,144.74,147.4,142.57,146.04,146.04,34988224
2014-10-09,146.65,148.64,144.45,145.94,145.94,14521060
2014-10-10,146.32,148.99,144.11,144.53,144.53,32637056
2014-10-13,145.15,146.17,142.05,144.84,144.84,23001445
2014-10-14,144.44,146.32,143.04,144.22,144.22,25151289
2014-10-15,144.22,146.84,143.56,146.18,146.18,25362143
2014-10-16,147.03,149.55,142.71,145.23,145.23,10854757
2014-10-17,144.07,148.73,143.57,145.95,145.95,11423679
2014-10-20,146.66,149.31,145.57,147.85,147.85,19503376
2014-10-21,147.64,148.09,145.95,147.15,147.15,45658186
2014-10-22,147.66,147.88,144.3,146.45,146.45,45537020
2014-10-23,145.3,147.31,143.66,144.75,144.75,21223632
2014-10-24,145.71,146.8,141.77,144.15,144.15,29012640
2014-10-27,143.06,144.17,140.63,143.25,143.25,37281069
2014-10-28,143.96,145.42,141.46,143.59,143.59,23966411
2014-10-29,142.64,143.43,140.88,142.69,142.69,48228657
2014-10-30,142.31,145.02,141.41,142.86,142.86,19779606
2014-10-31,142.6,146.73,141.91,144.09,144.09,37783313
2014-11-03,144.12,146.02,140.84,143.39,143.39,42786457
2014-11-04,143.72,146.55,143.16,145.36,145.36,45843618
2014-11-05,146.46,148.11,144.99,146.92,146.92,37070997
2014-11-06,146.6,149.53,145.38,148.13,148.13,45623475
2014-11-07,149.24,149.41,145.86,148.72,148.72,21225842
2014-11-10,148.45,151.4,145.17,146.36,146.36,27511586
2014-11-11,146.12,146.6,141.92,144.39,144.39,37367279
2014-11-12,144.78,146.79,143.88,145.7,145.7,15442503
2014-11-13,145.45,147.56,141.75,143.43,143.43,12363539
2014-11-14,142.74,143.32,140.29,142.29,142.29,39276835
2014-11-17,142.24,143.9,139.61,142.65,142.65,45272447
2014-11-18,142.19,142.88,141.36,142.48,142.48,10112483
2014-11-19,143.41,144.05,139.24,141.43,141.43,38048979
2014-11-20,141.23,144.12,139.36,141.35,141.35,30966664
2014-11-21,141.71,143.32,138.3,140.75,140.75,19498654
2014-11-24,140.95,142.22,139.21,140.13,140.13,37079153
2014-11-25,139.99,140.17,137.63,137.92,137.92,20940987
2014-11-26,138.99,141.22,136.14,137.11,137.11,11795352
2014-11-27,138.06,139.13,133.81,136.13,136.13,42463056
2014-11-28,136.34,138.62,134.74,137.97,137.97,41852124
2014-12-01,138.17,140.28,136.25,138.92,138.92,33779258
2014-12-02,138.42,140.13,136.14,137.48,137.48,46674731
2014-12-03,136.57,138.41,133.51,134.99,134.99,48756212
2014-12-04,134.17,135.01,132.13,134.16,134.16,20919531
2014-12-05,134.34,135.53,132.61,132.77,132.77,43990246
2014-12-08,133.62,135.34,133.1,134.1,134.1,10479119
2014-12-09,133.5,134.7,131.7,133.24,133.24,44990937
2014-12-10,133.84,137.77,133.06,135.32,135.32,16991112
2014-12-11,134.24,134.77,131.49,133.41,133.41,46173814
2014-12-12,133.46,136.11,132.44,135.2,135.2,45078018
2014-12-15,135.13,137.39,131.64,133.77,133.77,20093319
2014-12-16,132.88,134.94,130.96,133.17,133.17,39568738
2014-12-17,132.65,133.27,130.67,132.25,132.25,47347252
2014-12-18,131.41,132.47,129.83,130.04,130.04,19048791
2014-12-19,129.89,131.66,126.59,128.86,128.86,47607693
2014-12-22,129.57,132.45,129.27,129.98,129.98,49679705
2014-12-23,129.62,131.49,128.74,129.89,129.89,43564480
2014-12-24,128.86,131.52,127.79,129.58,129.58,10511101
2014-12-25,128.66,131.15,128.45,129.92,129.92,49667099
2014-12-26,130.53,131.86,128.85,130.23,130.23,45871047
2014-12-29,131.15,133.68,127.71,129.23,129.23,41293269
2014-12-30,130.05,132.37,126.17,128.5,128.5,35741457
2014-12-31,127.54,128.77,126.7,126.91,126.91,46257563
2015-01-01,126.88,129.62,124.67,128.25,128.25,32050706
2015-01-02,128.71,131.22,128.4,129.79,129.79,33936439
2015-01-05,130.52,132.38,130.01,131.68,131.68,47169349
2015-01-06,132.52,133.83,131.01,132.9,132.9,21530665
2015-01-07,133.61,136.01,132.21,134.72,134.72,29615070
2015-01-08,135.26,138.27,133.8,136.86,136.86,24641992
2015-01-09,137.9,141.33,136.09,139.65,139.65,34622437
2015-01-12,139.41,140.25,136.06,137.58,137.58,31523216
2015-01-13,136.87,140.4,136.22,138.49,138.49,40924121
2015-01-14,139.58,141.42,136.89,140.21,140.21,35960605
2015-01-15,139.34,141.16,137.9,138.94,138.94,38787328
2015-01-16,139.65,142.41,137.19,141.72,141.72,39844333
2015-01-19,141.56,142.27,137.54,139.51,139.51,11382477
2015-01-20,139.33,141.96,138.36,140.15,140.15,25959208
2015-01-21,139.07,139.72,136.36,137.44,137.44,25359224
2015-01-22,138.46,140.34,135.94,139.93,139.93,23294482
2015-01-23,139.24,143.55,137.92,141.09,141.09,49352352
2015-01-26,141.1,142.04,137.35,139.71,139.71,28738836
2015-01-27,139.09,141.18,137.3,140.19,140.19,43959720
2015-01-28,139.12,141.79,137.55,138.93,138.93,37420019
2015-01-29,139.82,143.13,137.89,141.64,141.64,32194604
2015-01-30,140.99,143.27,137.25,139.05,139.05,49310471
2015-02-02,138.67,140.5,138.02,139.35,139.35,22460447
2015-02-03,139.45,141.69,136.86,141.53,141.53,44567453
2015-02-04,140.83,141.57,138.57,139.68,139.68,32465470
2015-02-05,138.76,139.58,135.52,137.6,137.6,40466074
2015-02-06,137.74,139.42,133.93,136.15,136.15,13763717
2015-02-09,135.72,139.64,133.74,137.38,137.38,39726781
2015-02-10,138.36,139.84,136.35,136.86,136.86,33203897
2015-02-11,136.71,137.71,134.25,135.53,135.53,29302933
2015-02-12,135.93,138.54,133.77,136.44,136.44,43803113
2015-02-13,135.61,139.03,135.37,136.62,136.62,35890862
2015-02-16,136.99,139.58,133.02,135.06,135.06,31772225
2015-02-17,135.28,136.62,131.93,134.06,134.06,30079576
2015-02-18,134.02,135.44,132.18,133.18,133.18,13219040
2015-02-19,133.77,136.74,132.61,134.16,134.16,36219907
2015-02-20,133.28,135.38,132.37,132.61,132.61,35830790
2015-02-23,132.63,133.07,130.24,130.78,130.78,26929512
2015-02-24,130.05,132.66,129.36,131.71,131.71,35559052
2015-02-25,130.93,133.32,128.91,129.08,129.08,31468047
2015-02-26,128.37,130.45,127.41,127.98,127.98,47862329
2015-02-27,128.97,131.17,128.14,128.5,128.5,23986535
2015-03-02,127.8,130.66,127.27,128.4,128.4,13845787
2015-03-03,128.33,130.17,127.15,129.48,129.48,36268022
2015-03-04,128.98,132.14,126.9,130.67,130.67,46830014
2015-03-05,131.6,133.13,129.65,131.82,131.82,33186127
2015-03-06,132.42,133.46,130.5,131.53,131.53,35546198
2015-03-09,131.5,135.57,130.45,133.33,133.33,11689645
2015-03-10,132.37,133.07,129.79,130.68,130.68,23603795
2015-03-11,130.37,131.76,127.38,129.67,129.67,40468606
2015-03-12,129.03,130.57,127.1,128.34,128.34,32911992
2015-03-13,127.88,130.83,126.61,129.3,129.3,39827420
2015-03-16,129.65,132.76,128.09,130.16,130.16,33485042
2015-03-17,129.61,131.98,126.5,128.85,128.85,34165149
2015-03-18,129.46,129.92,128.83,129.03,129.03,28507192
2015-03-19,128.83,130.39,128.28,129.68,129.68,21358513
2015-03-20,130.06,132.51,127.89,129.16,129.16,15850042
2015-03-23,129.04,129.47,126.71,129.07,129.07,43510412
2015-03-24,128.58,128.82,124.93,126.88,126.88,12693701
2015-03-25,126.6,127.18,124.07,124.96,124.96,26576319
2015-03-26,125.8,126.72,122.66,124.92,124.92,28138064
2015-03-27,125.31,126.69,123.93,126.21,126.21,22497074
2015-03-30,126.96,127.18,123.35,125.47,125.47,43875877
2015-03-31,124.56,127.46,123.59,125.9,125.9,48375928
2015-04-01,126.39,128.99,125.2,128.02,128.02,26104964
2015-04-02,128.39,130.76,126.87,128.25,128.25,39190330
2015-04-03,127.68,130.11,126.68,127.63,127.63,45670695
2015-04-06,127.39,127.94,124.63,125.84,125.84,40003849
2015-04-07,125.64,127.93,124.53,126.87,126.87,14154323
2015-04-08,127.31,128.25,125.53,127.24,127.24,33414210
2015-04-09,127.16,128.55,125.04,127.54,127.54,45965696
2015-04-10,127.45,129.81,126.7,128.04,128.04,40856313
2015-04-13,127.27,129.37,127.02,128.88,128.88,33043091
2015-04-14,128.49,132.38,127.16,129.9,129.9,24670488
2015-04-15,130.64,132.3,128.6,131.32,131.32,46102067
2015-04-16,131.62,132.16,131.01,131.29,131.29,43586731
2015-04-17,131.03,132.83,130.71,131.19,131.19,11988917
2015-04-20,131.91,135.1,129.42,132.77,132.77,35135450
2015-04-21,132.76,133.92,129.58,130.77,130.77,20758095
2015-04-22,131.31,133.36,128.63,130.72,130.72,20925451
2015-04-23,131.04,134.49,129.13,132.38,132.38,45440382
2015-04-24,132.45,134.6,132.27,134.24,134.24,40570338
2015-04-27,134.03,136.53,129.75,132.23,132.23,45856274
2015-04-28,131.83,133.87,131.67,132.33,132.33,13986928
2015-04-29,133.13,135.48,131.19,134.52,134.52,44114934
2015-04-30,134.77,136.45,132.89,133.64,133.64,43840577
2015-05-01,133.8,135.75,130.84,133.46,133.46,45615236
2015-05-04,133.11,134.19,129.86,131.99,131.99,20520372
2015-05-05,133.03,136.39,130.95,134.9,134.9,32433535
2015-05-06,134.41,136.33,132.6,134.19,134.19,11177530
2015-05-07,134.89,137.05,132.25,135.33,135.33,24274117
2015-05-08,135.75,136.89,131.84,134.22,134.22,49279460
2015-05-11,134.17,135.86,130.62,132.78,132.78,38495822
2015-05-12,132.71,135.23,130.65,134.65,134.65,34321138
2015-05-13,134.73,136.6,131.43,133.91,133.91,43230521
2015-05-14,133.08,134.7,130.87,133.54,133.54,17004631
2015-05-15,133.37,134.15,131.33,133.16,133.16,33090980
2015-05-18,133.08,135.89,131.94,133.99,133.99,11387314
2015-05-19,133.53,134.93,131.19,132.92,132.92,34509678
2015-05-20,133.28,136.29,132.29,133.72,133.72,38881815
2015-05-21,134.73,134.92,131.96,133.72,133.72,21209311
2015-05-22,133.1,133.88,131.15,133.0,133.0,44444810
2015-05-25,133.08,136.47,131.43,134.74,134.74,42974736
2015-05-26,134.76,136.71,131.1,133.62,133.62,47026630
2015-05-27,134.6,136.55,133.28,133.96,133.96,27896545
2015-05-28,134.89,136.39,130.52,133.06,133.06,39756471
2015-05-29,133.32,135.12,132.63,134.53,134.53,12680600
2015-06-01,135.41,138.65,132.98,136.58,136.58,17418638
2015-06-02,136.41,138.73,135.45,137.39,137.39,29083827
2015-06-03,138.32,140.36,136.25,137.43,137.43,14850941
2015-06-04,138.13,139.8,134.86,137.35,137.35,29563792
2015-06-05,138.38,138.72,134.18,136.91,136.91,38011518
2015-06-08,136.37,140.24,136.1,137.72,137.72,31919777
2015-06-09,136.66,138.51,134.38,136.87,136.87,34372574
2015-06-10,136.72,139.17,135.56,138.58,138.58,19209931
2015-06-11,137.87,140.53,135.52,136.48,136.48,25674709
2015-06-12,136.68,138.52,135.04,137.69,137.69,39947537
2015-06-15,138.64,140.96,136.91,137.86,137.86,32187016
2015-06-16,137.42,138.14,136.85,137.84,137.84,10775921
2015-06-17,136.83,139.34,134.44,135.73,135.73,36499916
2015-06-18,135.43,138.88,133.39,136.78,136.78,16417134
2015-06-19,135.94,139.28,133.68,137.35,137.35,42565536
2015-06-22,137.58,137.92,136.15,137.62,137.62,32653856
2015-06-23,137.16,139.55,135.89,136.82,136.82,47219032
2015-06-24,137.18,138.07,136.74,137.9,137.9,45769968
2015-06-25,137.76,140.42,135.83,137.36,137.36,28661748
2015-06-26,138.09,139.31,135.86,136.13,136.13,49627789
2015-06-29,135.84,138.16,133.61,136.38,136.38,16823650
2015-06-30,136.85,138.64,136.38,138.36,138.36,45006987
2015-07-01,139.31,143.41,136.64,141.27,141.27,30520753
2015-07-02,141.38,142.52,136.7,139.46,139.46,23351686
2015-07-03,139.02,140.26,135.53,137.93,137.93,20587729
2015-07-06,137.31,139.53,136.09,136.7,136.7,35513451
2015-07-07,135.66,137.54,135.27,135.98,135.98,19250307
2015-07-08,135.87,138.51,135.22,135.42,135.42,27166102
2015-07-09,134.42,134.61,132.34,133.09,133.09,27813097
2015-07-10,132.53,134.99,131.28,132.46,132.46,48122273
2015-07-13,132.75,134.78,130.44,134.64,134.64,37807214
2015-07-14,135.17,138.37,134.41,136.77,136.77,20276542
2015-07-15,137.35,140.31,135.53,138.79,138.79,16234470
2015-07-16,139.32,140.38,136.64,139.27,139.27,44816903
2015-07-17,138.77,142.86,138.15,140.52,140.52,34314794
2015-07-20,140.8,142.41,139.31,142.12,142.12,18998757
2015-07-21,141.84,145.46,140.81,143.81,143.81,21816792
2015-07-22,144.31,145.34,143.29,144.5,144.5,48175080
2015-07-23,144.65,147.3,141.35,142.96,142.96,12454178
2015-07-24,142.99,146.95,140.29,144.61,144.61,29962737
2015-07-27,144.84,146.89,142.53,145.05,145.05,41143330
2015-07-28,144.03,145.72,140.29,142.95,142.95,39934872
2015-07-29,142.63,146.08,141.84,143.64,143.64,13862018
