Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,211.33,216.57,208.36,213.16,213.16,8789297
2014-01-03,214.21,218.47,212.01,212.26,212.26,15584997
2014-01-06,210.92,211.97,209.14,211.0,211.0,18385797
2014-01-07,211.61,212.16,208.37,209.27,209.27,18546197
2014-01-08,207.61,212.79,205.2,210.09,210.09,17482206
2014-01-09,211.52,216.09,208.93,213.31,213.31,13647635
2014-01-10,211.83,215.14,208.74,214.24,214.24,5196383
2014-01-13,215.66,219.61,213.43,215.85,215.85,9298984
2014-01-14,214.88,218.16,212.73,215.0,215.0,12880248
2014-01-15,215.31,216.34,212.68,214.72,214.72,3673177
2014-01-16,214.33,216.97,212.04,215.26,215.26,18722249
2014-01-17,216.13,221.57,212.0,218.35,218.35,11836391
2014-01-20,218.56,221.63,217.5,217.86,217.86,17455313
2014-01-21,216.27,218.89,212.68,215.48,215.48,5012942
2014-01-22,213.94,219.9,211.93,215.83,215.83,6933498
2014-01-23,217.47,221.0,215.07,216.49,216.49,4811639
2014-01-24,216.32,221.38,215.46,219.43,219.43,3189144
2014-01-27,220.57,222.36,219.49,222.04,222.04,15959765
2014-01-28,222.71,226.56,222.05,224.96,224.96,14900534
2014-01-29,223.83,227.27,217.37,221.33,221.33,8782943
2014-01-30,220.24,224.57,216.67,218.95,218.95,18968768
2014-01-31,218.14,220.43,213.78,216.65,216.65,7694271
2014-02-03,215.2,219.7,212.37,217.81,217.81,14001112
2014-02-04,218.41,220.99,216.26,218.5,218.5,17904354
2014-02-05,217.55,221.28,211.5,215.33,215.33,14854241
2014-02-06,213.79,215.5,208.69,211.03,211.03,2065757
2014-02-07,211.2,215.68,208.79,212.52,212.52,17139873
2014-02-10,211.91,213.18,210.58,212.37,212.37,18272686
2014-02-11,212.2,215.74,207.55,209.02,209.02,4345219
2014-02-12,209.7,210.88,208.75,209.96,209.96,10875431
2014-02-13,208.94,212.55,204.58,207.26,207.26,9112275
2014-02-14,208.8,210.55,205.56,206.07,206.07,8838306
2014-02-17,205.86,206.76,201.29,204.95,204.95,11953850
2014-02-18,206.3,210.85,204.94,207.65,207.65,18003223
2014-02-19,209.29,211.8,205.33,211.5,211.5,18749505
2014-02-20,212.8,213.3,211.7,212.53,212.53,3435203
