Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,170.99,176.14,167.71,173.35,173.35,12806159
2014-01-03,172.01,174.15,169.04,171.81,171.81,4548375
2014-01-06,172.25,174.85,170.28,172.85,172.85,4689561
2014-01-07,171.94,176.86,169.73,174.08,174.08,15082445
2014-01-08,174.28,178.26,170.84,176.37,176.37,18475431
2014-01-09,176.91,178.72,171.18,174.38,174.38,19698964
2014-01-10,174.95,177.86,174.41,176.02,176.02,6059725
2014-01-13,175.95,180.33,173.84,177.67,177.67,7594078
2014-01-14,178.09,180.93,174.61,176.15,176.15,3501899
2014-01-15,175.91,177.47,171.63,175.07,175.07,2813479
2014-01-16,175.51,178.6,171.01,174.36,174.36,15068744
2014-01-17,173.07,176.39,170.62,172.15,172.15,3380867
2014-01-20,172.4,174.52,169.35,172.79,172.79,6047993
2014-01-21,172.65,175.37,167.94,170.23,170.23,3150001
2014-01-22,170.89,173.47,169.04,169.37,169.37,11151952
2014-01-23,168.06,168.4,163.2,166.23,166.23,13775139
2014-01-24,165.85,167.52,161.4,163.92,163.92,7490500
2014-01-27,164.8,169.46,161.58,166.42,166.42,17811502
2014-01-28,165.39,168.0,164.56,165.76,165.76,2997435
2014-01-29,165.22,167.9,163.78,164.99,164.99,9214238
2014-01-30,163.73,165.52,163.25,164.7,164.7,18648914
2014-01-31,165.25,167.38,163.05,166.54,166.54,4171545
2014-02-03,165.6,166.17,161.23,163.38,163.38,4278939
2014-02-04,162.62,166.49,160.93,164.7,164.7,12799903
2014-02-05,164.72,166.35,160.75,163.39,163.39,18257848
2014-02-06,162.15,165.21,159.23,160.68,160.68,4411500
2014-02-07,160.2,163.07,159.31,160.07,160.07,2572468
2014-02-10,159.68,162.01,156.86,159.88,159.88,12144350
2014-02-11,160.72,163.27,158.89,161.97,161.97,13372285
2014-02-12,161.28,163.58,157.69,159.17,159.17,9667650
2014-02-13,160.33,165.06,159.05,162.17,162.17,8627668
2014-02-14,162.69,166.05,160.19,163.82,163.82,4213335
2014-02-17,163.36,166.69,163.17,164.39,164.39,2393907
2014-02-18,164.38,167.42,159.82,161.96,161.96,8634307
2014-02-19,161.99,164.0,158.76,160.63,160.63,2448410
2014-02-20,159.44,162.36,156.33,161.68,161.68,8448250
2014-02-21,161.27,163.05,158.43,162.43,162.43,4118924
2014-02-24,162.36,164.68,162.03,162.65,162.65,5040775
2014-02-25,161.59,162.37,159.02,161.45,161.45,12496187
2014-02-26,160.29,161.03,157.32,159.51,159.51,9976204
2014-02-27,160.64,164.58,157.49,162.74,162.74,10844619
2014-02-28,163.28,164.1,160.66,162.36,162.36,11174244
2014-03-03,162.72,163.73,159.21,160.64,160.64,7536942
2014-03-04,160.76,161.29,157.51,159.43,159.43,7855017
