Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,347.53,352.15,338.99,343.66,343.66,34623693
2014-01-03,345.97,351.45,340.48,347.99,347.99,19596410
2014-01-06,347.28,354.54,345.73,352.1,352.1,13361945
2014-01-07,352.3,358.94,347.88,349.29,349.29,23856138
2014-01-08,351.02,355.96,348.1,355.12,355.12,12118869
2014-01-09,356.88,362.48,349.23,356.3,356.3,12709860
2014-01-10,354.01,360.66,346.57,350.77,350.77,12937207
2014-01-13,350.63,357.51,344.01,346.81,346.81,49243772
2014-01-14,346.22,350.53,337.61,342.76,342.76,24244757
2014-01-15,341.57,345.39,332.05,338.8,338.8,46278479
2014-01-16,339.0,343.0,333.43,334.3,334.3,20023441
2014-01-17,332.78,335.98,325.43,330.09,330.09,39184259
2014-01-20,330.84,335.72,324.38,333.05,333.05,43845542
2014-01-21,333.31,337.22,325.05,330.36,330.36,47160477
2014-01-22,332.0,337.9,323.8,328.06,328.06,45687246
2014-01-23,327.6,332.67,322.9,328.51,328.51,12438072
2014-01-24,329.46,333.87,322.84,328.49,328.49,15572912
2014-01-27,331.02,341.65,326.31,335.45,335.45,29356702
2014-01-28,335.84,342.84,332.74,338.26,338.26,38424177
2014-01-29,340.03,347.82,338.15,342.68,342.68,46949313
2014-01-30,340.04,345.24,338.74,339.38,339.38,19637668
2014-01-31,339.46,341.78,333.88,338.76,338.76,47106339
2014-02-03,337.31,338.92,332.71,334.31,334.31,42119872
2014-02-04,333.62,336.24,323.97,328.9,328.9,41429265
2014-02-05,326.29,329.85,322.6,323.7,323.7,16101093
2014-02-06,321.64,322.96,313.88,320.21,320.21,21492466
2014-02-07,320.88,325.72,316.1,319.27,319.27,23385839
2014-02-10,320.42,321.71,311.76,316.68,316.68,13354033
2014-02-11,316.75,325.52,315.45,321.11,321.11,11821767
2014-02-12,321.21,324.41,315.94,320.27,320.27,28864137
2014-02-13,318.27,323.47,314.28,315.9,315.9,49570080
2014-02-14,316.56,320.35,312.44,315.32,315.32,13803992
2014-02-17,315.1,320.01,310.3,310.75,310.75,26963858
2014-02-18,313.19,313.73,307.45,309.58,309.58,38120495
2014-02-19,307.75,308.8,299.07,304.87,304.87,21487454
2014-02-20,307.3,308.27,300.71,304.01,304.01,42278993
2014-02-21,303.34,306.24,298.22,305.6,305.6,23819016
2014-02-24,306.82,309.21,302.47,308.11,308.11,21924913
2014-02-25,308.78,314.32,306.57,308.5,308.5,27493899
2014-02-26,309.7,311.58,305.52,306.1,306.1,47256988
2014-02-27,308.39,312.92,303.03,311.26,311.26,46000210
2014-02-28,312.84,316.51,307.62,311.38,311.38,42861113
2014-03-03,311.82,317.87,303.39,308.1,308.1,13262230
2014-03-04,309.26,312.3,303.77,306.63,306.63,47674653
2014-03-05,308.25,309.04,302.12,304.91,304.91,23828681
2014-03-06,306.94,313.62,301.69,310.75,310.75,38746194
2014-03-07,313.12,318.85,307.77,312.86,312.86,25395332
2014-03-10,313.09,318.07,305.25,308.54,308.54,37528482
2014-03-11,307.24,313.48,304.89,308.27,308.27,26451607
2014-03-12,307.34,308.38,306.67,306.98,306.98,49109344
2014-03-13,308.83,312.06,304.22,309.36,309.36,49081039
2014-03-14,307.39,316.14,302.2,310.21,310.21,16726640
2014-03-17,311.97,314.32,303.83,308.73,308.73,46772112
2014-03-18,307.31,312.13,301.66,306.38,306.38,16020196
2014-03-19,304.87,310.85,296.84,302.87,302.87,48771494
2014-03-20,302.77,308.39,301.28,305.21,305.21,37108380
2014-03-21,305.96,309.92,300.99,308.15,308.15,45169829
2014-03-24,308.98,313.52,302.93,310.17,310.17,34056797
2014-03-25,309.77,314.91,303.62,305.94,305.94,15051705
2014-03-26,304.46,311.94,298.63,306.79,306.79,45190821
2014-03-27,307.65,313.41,301.42,306.61,306.61,47817931
2014-03-28,306.48,306.82,301.6,302.51,302.51,29610610
2014-03-31,304.78,306.65,299.79,301.23,301.23,13053137
2014-04-01,302.33,303.91,297.02,302.7,302.7,43311545
2014-04-02,302.34,304.07,298.42,303.28,303.28,47534037
2014-04-03,303.91,304.3,297.8,303.02,303.02,34289824
2014-04-04,301.89,304.34,295.19,298.43,298.43,40972128
2014-04-07,296.93,304.27,294.41,299.02,299.02,23870370
2014-04-08,297.98,300.34,291.61,293.84,293.84,46930635
2014-04-09,295.56,298.03,291.87,294.88,294.88,35821208
2014-04-10,296.78,300.97,287.58,293.32,293.32,26412579
2014-04-11,293.27,297.14,291.78,295.51,295.51,26583368
2014-04-14,293.59,299.73,288.87,297.38,297.38,41645955
2014-04-15,295.44,298.12,292.41,293.46,293.46,30676802
2014-04-16,295.42,301.11,289.53,291.76,291.76,36311321
2014-04-17,293.3,297.94,284.55,289.18,289.18,18458611
