Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,370.54,376.54,365.63,373.45,373.45,48962055
2014-01-03,376.39,387.36,375.12,380.34,380.34,22073633
2014-01-06,382.26,390.38,380.54,387.26,387.26,37410503
2014-01-07,384.97,389.87,383.54,387.03,387.03,41050323
2014-01-08,386.51,393.9,386.11,388.41,388.41,31733135
2014-01-09,389.46,397.84,386.24,390.09,390.09,22771212
2014-01-10,387.52,394.09,382.67,385.2,385.2,39279205
2014-01-13,383.14,395.37,381.14,388.84,388.84,21814978
2014-01-14,387.61,394.75,376.01,382.93,382.93,31717478
2014-01-15,384.59,390.95,375.52,379.14,379.14,10112856
2014-01-16,379.69,386.42,373.7,384.25,384.25,46178415
2014-01-17,384.72,390.48,376.2,381.59,381.59,27195485
2014-01-20,384.04,385.41,377.36,380.03,380.03,43180414
2014-01-21,380.58,383.92,375.64,383.42,383.42,38024597
2014-01-22,381.07,391.87,376.34,386.11,386.11,26413339
2014-01-23,388.51,401.43,383.43,393.63,393.63,42289923
2014-01-24,394.39,399.15,384.33,388.97,388.97,13135629
2014-01-27,390.9,400.0,386.42,393.05,393.05,46795629
2014-01-28,394.69,399.54,389.38,393.49,393.49,19570566
2014-01-29,395.57,397.14,388.75,396.61,396.61,28013290
2014-01-30,397.97,403.64,392.16,398.32,398.32,27492396
2014-01-31,400.55,410.49,399.18,403.37,403.37,46944722
2014-02-03,405.12,407.69,396.88,401.68,401.68,33244699
2014-02-04,402.59,412.73,395.9,404.69,404.69,24415165
2014-02-05,406.87,418.98,404.66,412.14,412.14,45145041
2014-02-06,412.34,418.57,403.33,409.4,409.4,12958174
2014-02-07,406.61,407.64,399.12,404.08,404.08,47281861
2014-02-10,402.28,408.94,398.67,406.75,406.75,46387804
2014-02-11,404.57,409.5,397.05,405.48,405.48,36263762
2014-02-12,406.05,412.13,402.6,406.18,406.18,32514433
2014-02-13,404.96,413.42,404.14,407.71,407.71,21369595
2014-02-14,407.71,412.25,406.77,408.48,408.48,39934631
2014-02-17,410.03,414.23,398.69,404.99,404.99,43787911
2014-02-18,406.85,414.22,395.88,403.26,403.26,25526258
2014-02-19,403.07,407.36,396.94,399.99,399.99,39225996
2014-02-20,397.58,403.99,391.89,399.16,399.16,11956423
2014-02-21,401.91,409.63,391.88,398.52,398.52,21703573
2014-02-24,401.25,409.55,396.6,403.88,403.88,46311671
2014-02-25,402.38,408.25,395.61,405.31,405.31,33216932
2014-02-26,407.6,413.53,403.54,404.3,404.3,19461810
2014-02-27,405.08,413.46,399.46,408.71,408.71,26486952
2014-02-28,408.09,413.29,402.12,411.4,411.4,27625306
2014-03-03,413.0,419.1,407.65,414.84,414.84,27434149
2014-03-04,414.75,422.81,407.42,411.8,411.8,49319220
2014-03-05,409.86,418.0,406.31,407.01,407.01,15597217
2014-03-06,404.75,413.59,399.13,407.2,407.2,37806414
2014-03-07,409.0,411.81,402.98,407.87,407.87,19158483
2014-03-10,405.79,412.06,401.83,410.11,410.11,32202063
2014-03-11,408.31,412.41,396.37,404.03,404.03,26415613
2014-03-12,406.64,413.05,400.2,403.56,403.56,37055990
2014-03-13,406.19,415.96,404.08,411.39,411.39,33786649
2014-03-14,408.85,413.41,397.0,404.29,404.29,25156249
2014-03-17,402.1,408.54,396.2,404.9,404.9,40475420
2014-03-18,405.59,412.04,402.85,406.04,406.04,35187203
2014-03-19,407.28,412.33,405.68,406.6,406.6,12778353
2014-03-20,404.73,408.63,400.3,401.28,401.28,21542694
2014-03-21,402.64,404.91,398.32,399.97,399.97,24129024
2014-03-24,397.17,404.44,388.36,393.87,393.87,47376475
2014-03-25,396.81,407.21,394.48,400.15,400.15,29583610
2014-03-26,399.95,407.65,395.81,396.45,396.45,33136956
2014-03-27,398.75,404.59,391.06,393.31,393.31,34878057
2014-03-28,394.99,401.52,390.01,399.83,399.83,38224155
2014-03-31,397.33,400.12,393.17,396.76,396.76,20951024
2014-04-01,394.12,395.18,391.33,394.36,394.36,29588704
2014-04-02,395.24,400.96,386.81,392.76,392.76,28139641
2014-04-03,390.36,400.84,384.83,394.35,394.35,10795866
2014-04-04,395.72,400.41,389.87,391.12,391.12,10292818
2014-04-07,394.22,399.01,387.63,393.97,393.97,29074166
2014-04-08,395.12,404.01,391.84,399.9,399.9,17952747
2014-04-09,400.76,403.47,396.05,397.75,397.75,23106799
2014-04-10,396.54,407.29,393.11,400.01,400.01,22310738
2014-04-11,402.41,407.47,393.71,401.02,401.02,40952281
2014-04-14,397.89,409.27,396.1,402.77,402.77,35275117
2014-04-15,403.34,412.18,396.85,407.26,407.26,42215824
2014-04-16,410.0,414.23,406.25,413.67,413.67,23597532
2014-04-17,411.31,422.99,410.55,416.82,416.82,29592647
2014-04-18,414.68,420.44,402.79,410.0,410.0,22787784
2014-04-21,409.86,411.1,399.07,406.96,406.96,31840293
2014-04-22,410.21,416.82,399.68,404.2,404.2,43318721
2014-04-23,406.36,411.38,397.84,401.05,401.05,34791222
2014-04-24,399.58,403.84,388.99,394.14,394.14,36007677
2014-04-25,394.99,406.91,393.71,399.07,399.07,36671673
2014-04-28,397.91,409.52,393.34,402.08,402.08,34533648
2014-04-29,399.46,402.01,389.02,394.71,394.71,37848744
2014-04-30,397.55,399.73,391.19,396.01,396.01,48472525
2014-05-01,398.1,402.21,395.97,401.33,401.33,25517726
2014-05-02,401.91,404.18,395.91,396.58,396.58,43053624
2014-05-05,397.3,403.19,385.42,391.53,391.53,25833999
2014-05-06,391.76,399.66,388.94,395.12,395.12,25643235
2014-05-07,393.83,398.96,386.98,388.24,388.24,38556393
2014-05-08,386.58,387.93,376.96,382.18,382.18,40973723
2014-05-09,381.56,387.34,379.89,382.23,382.23,45899753
2014-05-12,384.2,388.22,373.96,381.3,381.3,10329954
2014-05-13,378.96,384.57,374.09,378.27,378.27,36484381
2014-05-14,380.4,385.25,375.78,379.07,379.07,43754473
2014-05-15,380.61,385.89,376.66,382.05,382.05,37284302
2014-05-16,379.13,382.92,368.58,374.66,374.66,26249807
2014-05-19,373.61,378.04,370.79,374.06,374.06,47145329
2014-05-20,375.5,381.08,370.48,378.99,378.99,18726872
2014-05-21,376.77,386.49,370.86,379.89,379.89,39809594
2014-05-22,381.1,384.31,376.73,378.93,378.93,45098195
2014-05-23,381.06,386.24,374.42,379.73,379.73,12986812
2014-05-26,381.13,387.96,378.79,386.02,386.02,23458844
2014-05-27,388.49,395.74,381.27,384.05,384.05,15554867
2014-05-28,381.5,383.48,375.48,376.73,376.73,12111265
2014-05-29,373.94,383.41,370.96,379.18,379.18,30914680
2014-05-30,376.54,377.99,373.43,377.6,377.6,42003068
2014-06-02,375.33,377.05,365.04,370.28,370.28,48599684
2014-06-03,370.5,376.64,364.56,374.08,374.08,28994085
2014-06-04,376.28,387.24,374.38,381.25,381.25,46606918
2014-06-05,378.53,387.12,378.03,380.65,380.65,25840169
2014-06-06,383.14,387.22,381.85,382.62,382.62,35817011
2014-06-09,385.21,394.6,382.69,389.86,389.86,36225978
2014-06-10,391.44,397.91,385.83,391.81,391.81,27642652
2014-06-11,393.11,396.69,391.0,394.04,394.04,44007149
2014-06-12,391.23,392.54,390.42,391.86,391.86,11232282
2014-06-13,394.4,398.12,393.75,395.22,395.22,10453085
2014-06-16,393.58,397.76,385.42,390.0,390.0,28463088
2014-06-17,387.02,396.97,385.74,389.59,389.59,19314118
2014-06-18,390.11,395.88,382.72,391.41,391.41,46266331
2014-06-19,389.73,391.62,383.34,384.16,384.16,36220133
2014-06-20,382.73,387.32,375.34,386.61,386.61,35856716
2014-06-23,389.46,393.14,383.02,387.82,387.82,20278060
2014-06-24,385.06,391.6,379.97,389.36,389.36,33505144
2014-06-25,390.85,395.53,383.35,390.03,390.03,26430763
2014-06-26,390.58,396.15,381.43,386.52,386.52,37078455
2014-06-27,384.6,387.65,377.07,380.32,380.32,24300986
2014-06-30,383.09,388.71,379.04,380.55,380.55,39971888
2014-07-01,382.66,390.05,380.51,384.98,384.98,42516326
2014-07-02,386.3,389.95,384.66,387.87,387.87,39928389
2014-07-03,387.77,399.35,384.51,391.77,391.77,37668340
2014-07-04,390.26,395.42,384.33,388.98,388.98,42600538
2014-07-07,392.07,400.51,389.5,394.1,394.1,12298180
2014-07-08,396.46,404.17,393.74,394.76,394.76,11411512
2014-07-09,396.71,404.84,390.1,402.24,402.24,49007859
2014-07-10,403.77,410.82,399.11,400.95,400.95,31760927
2014-07-11,398.95,405.43,390.85,395.14,395.14,43988906
2014-07-14,394.04,397.07,386.27,389.15,389.15,47520170
2014-07-15,391.09,392.62,381.48,385.25,385.25,11217974
2014-07-16,383.69,396.99,376.77,389.4,389.4,34826617
2014-07-17,387.36,394.86,383.91,391.31,391.31,14425760
2014-07-18,393.55,397.73,387.46,392.69,392.69,16847487
2014-07-21,390.04,394.69,384.03,388.94,388.94,32072153
2014-07-22,391.62,393.37,386.49,389.81,389.81,28142393
2014-07-23,387.22,395.01,382.55,389.92,389.92,25479174
2014-07-24,389.18,397.87,385.65,393.9,393.9,10722112
2014-07-25,394.54,400.59,388.33,398.37,398.37,32857089
