Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,486.79,495.28,477.89,493.5,493.5,5595810
2014-01-03,496.64,505.24,493.77,499.54,499.54,2346485
2014-01-06,496.32,500.05,492.27,493.66,493.66,11556138
2014-01-07,497.07,500.91,483.59,492.73,492.73,2539581
2014-01-08,494.73,500.0,487.08,496.09,496.09,4539795
2014-01-09,497.65,507.65,488.1,504.66,504.66,2253031
2014-01-10,507.38,518.7,498.32,509.75,509.75,11079427
2014-01-13,510.06,519.69,506.69,512.71,512.71,7050500
2014-01-14,514.92,521.65,512.41,514.06,514.06,10205077
2014-01-15,517.89,525.45,510.38,521.62,521.62,8107471
2014-01-16,522.21,523.28,516.51,517.53,517.53,17869143
2014-01-17,520.84,535.67,515.45,525.29,525.29,19426427
2014-01-20,522.36,532.3,518.6,522.38,522.38,12048007
2014-01-21,522.74,525.49,521.87,523.63,523.63,6075800
2014-01-22,521.51,529.96,517.39,522.86,522.86,10668641
2014-01-23,525.52,536.43,520.53,530.7,530.7,13993242
2014-01-24,532.91,545.77,529.77,535.57,535.57,12506610
2014-01-27,536.72,544.78,525.4,529.7,529.7,5701844
2014-01-28,526.71,535.65,511.41,519.28,519.28,19127310
2014-01-29,522.75,527.0,514.57,519.66,519.66,13333599
2014-01-30,521.52,531.66,517.7,521.29,521.29,17987222
2014-01-31,520.63,530.43,506.07,513.44,513.44,12342627
2014-02-03,509.92,512.26,503.19,510.13,510.13,19179627
2014-02-04,510.89,527.88,506.0,517.72,517.72,2767314
2014-02-05,513.7,517.81,508.76,511.96,511.96,11123557
2014-02-06,515.59,517.33,508.35,510.45,510.45,10679122
2014-02-07,508.13,512.52,497.03,505.7,505.7,14495851
2014-02-10,502.2,504.62,494.09,498.21,498.21,13866625
2014-02-11,497.92,507.81,492.39,503.5,503.5,8433610
2014-02-12,504.38,511.92,496.26,508.15,508.15,5130480
2014-02-13,510.13,514.74,504.46,511.43,511.43,17034390
2014-02-14,514.18,521.92,511.29,520.6,520.6,18008520
2014-02-17,518.09,529.46,516.06,524.85,524.85,9330464
2014-02-18,527.27,533.82,522.29,531.69,531.69,17306083
2014-02-19,527.83,532.48,523.38,525.65,525.65,9404524
2014-02-20,527.2,532.82,519.74,528.67,528.67,5005962
2014-02-21,531.21,548.01,524.6,538.69,538.69,19401429
2014-02-24,534.94,547.61,525.97,539.99,539.99,19640117
2014-02-25,544.2,553.92,532.59,537.89,537.89,18436612
2014-02-26,539.44,546.19,526.42,535.26,535.26,2501608
2014-02-27,535.97,550.28,531.53,541.4,541.4,15959093
2014-02-28,544.4,551.4,536.56,547.04,547.04,2897706
2014-03-03,543.93,546.62,535.45,544.25,544.25,13834486
2014-03-04,542.22,550.88,533.44,543.97,543.97,8015526
2014-03-05,546.5,548.57,538.33,545.94,545.94,11913899
2014-03-06,544.47,545.23,536.06,542.5,542.5,2751141
2014-03-07,540.93,551.6,529.96,534.74,534.74,7159174
2014-03-10,533.93,540.86,532.74,533.79,533.79,14953422
2014-03-11,530.89,539.17,528.9,532.21,532.21,14315112
2014-03-12,531.38,536.67,524.69,533.9,533.9,17980379
2014-03-13,536.63,538.81,528.45,529.76,529.76,11384071
2014-03-14,527.49,537.89,518.51,526.5,526.5,6008723
2014-03-17,530.35,543.59,528.06,536.16,536.16,6311228
2014-03-18,537.17,550.11,526.87,540.9,540.9,9726336
2014-03-19,538.01,545.78,532.6,540.79,540.79,17996532
2014-03-20,537.74,548.72,536.15,543.65,543.65,11262932
2014-03-21,539.71,548.41,534.12,545.98,545.98,5514984
2014-03-24,544.69,551.04,528.31,537.75,537.75,14027909
2014-03-25,541.86,554.71,533.23,544.04,544.04,19028927
2014-03-26,547.76,554.33,540.76,549.35,549.35,17198008
2014-03-27,546.11,550.54,543.24,546.05,546.05,16946716
2014-03-28,545.64,550.02,542.78,544.0,544.0,6785904
2014-03-31,546.15,557.02,542.46,544.71,544.71,9409434
2014-04-01,544.12,548.19,541.45,543.32,543.32,2363291
2014-04-02,540.87,542.18,534.15,540.03,540.03,14488881
2014-04-03,538.15,540.62,520.82,530.82,530.82,2659533
2014-04-04,529.79,539.92,523.64,528.05,528.05,3889850
2014-04-07,530.82,534.99,519.58,529.16,529.16,2350297
2014-04-08,525.24,534.26,521.66,524.15,524.15,8987365
2014-04-09,522.78,532.49,517.03,526.42,526.42,15742930
2014-04-10,529.32,530.35,518.55,524.22,524.22,15996584
2014-04-11,521.05,523.75,512.54,522.43,522.43,10492489
2014-04-14,523.42,530.64,512.31,518.19,518.19,19459805
2014-04-15,521.2,527.17,518.68,525.81,525.81,19860455
2014-04-16,523.36,532.9,522.67,525.96,525.96,17909042
2014-04-17,525.26,535.72,511.61,522.02,522.02,5241807
2014-04-18,519.46,528.2,516.46,521.77,521.77,12552980
2014-04-21,524.27,539.67,517.39,532.06,532.06,16269133
2014-04-22,533.64,542.9,519.99,528.56,528.56,6891245
2014-04-23,527.53,537.12,519.58,527.2,527.2,7271553
2014-04-24,531.25,542.12,527.27,531.74,531.74,6013341
2014-04-25,532.31,544.62,528.05,537.39,537.39,11869848
2014-04-28,540.0,550.49,525.17,535.38,535.38,19773493
2014-04-29,535.85,540.03,530.78,535.42,535.42,6401511
2014-04-30,533.86,547.65,532.48,541.38,541.38,14243599
2014-05-01,541.34,544.75,537.83,538.5,538.5,10795920
2014-05-02,540.6,553.89,538.02,543.82,543.82,19190410
2014-05-05,542.35,550.34,536.09,539.04,539.04,5214282
2014-05-06,539.34,549.6,528.54,535.45,535.45,8843908
2014-05-07,533.43,536.06,522.37,529.43,529.43,12178236
2014-05-08,525.94,532.07,510.68,520.33,520.33,7480363
2014-05-09,522.7,537.06,512.53,530.02,530.02,2192967
2014-05-12,527.44,528.31,513.51,521.03,521.03,2780460
2014-05-13,524.36,532.18,522.0,529.19,529.19,17243230
2014-05-14,531.0,533.51,520.86,531.52,531.52,15816498
2014-05-15,530.79,543.77,520.53,535.56,535.56,13642089
2014-05-16,533.82,534.68,525.08,532.62,532.62,2875459
2014-05-19,534.33,540.76,517.97,526.5,526.5,11651338
2014-05-20,527.23,530.43,520.77,524.69,524.69,10474105
2014-05-21,522.87,540.74,520.34,530.54,530.54,12117810
2014-05-22,526.42,534.66,520.03,525.25,525.25,11386500
2014-05-23,526.66,532.24,514.18,522.7,522.7,5493060
2014-05-26,518.99,527.22,508.58,513.9,513.9,14375539
2014-05-27,513.78,519.78,506.38,513.63,513.63,13205814
2014-05-28,510.18,522.0,500.6,513.94,513.94,3965618
2014-05-29,516.02,523.94,501.19,511.38,511.38,7650006
2014-05-30,509.83,525.8,501.24,517.43,517.43,11716321
2014-06-02,518.54,525.6,516.06,520.63,520.63,6029167
2014-06-03,518.03,527.16,511.06,517.67,517.67,11407525
2014-06-04,520.72,522.9,508.16,518.33,518.33,17467390
2014-06-05,519.07,521.41,509.26,512.14,512.14,16721317
2014-06-06,512.05,521.11,505.83,509.48,509.48,2532765
2014-06-09,511.43,520.97,503.9,508.2,508.2,13642645
2014-06-10,508.5,519.65,501.72,514.12,514.12,11925890
2014-06-11,516.61,521.01,501.63,511.55,511.55,17590877
2014-06-12,512.73,524.45,507.29,515.99,515.99,8326432
2014-06-13,518.19,519.65,511.87,517.03,517.03,3728735
2014-06-16,514.67,526.33,513.04,521.88,521.88,12124587
2014-06-17,519.34,524.63,516.37,518.37,518.37,16674058
2014-06-18,520.27,522.91,507.18,517.08,517.08,18452043
2014-06-19,513.53,521.39,502.07,507.14,507.14,2367250
2014-06-20,507.71,515.11,498.94,506.78,506.78,11916675
2014-06-23,504.56,510.6,497.96,506.94,506.94,2966029
2014-06-24,509.79,518.99,509.01,510.39,510.39,12170795
2014-06-25,509.44,519.48,505.84,506.72,506.72,7388635
2014-06-26,509.86,522.6,506.97,515.31,515.31,4393843
2014-06-27,513.39,526.69,507.86,517.6,517.6,12362149
2014-06-30,521.17,536.24,518.76,527.71,527.71,10236263
2014-07-01,525.66,536.94,518.86,532.85,532.85,6046854
2014-07-02,534.91,551.12,530.5,541.3,541.3,6491425
2014-07-03,543.75,548.07,531.53,540.24,540.24,13357803
2014-07-04,541.41,548.41,531.29,546.51,546.51,14710993
2014-07-07,546.22,547.12,536.44,543.25,543.25,19515350
2014-07-08,544.31,555.22,534.0,550.61,550.61,17596916
2014-07-09,547.12,564.8,536.68,554.88,554.88,12948558
2014-07-10,559.12,561.71,555.58,558.95,558.95,2390271
2014-07-11,558.72,566.17,550.12,552.14,552.14,2730375
2014-07-14,556.34,567.02,543.98,553.15,553.15,9084718
2014-07-15,550.95,557.92,548.84,554.94,554.94,10529813
2014-07-16,553.59,568.95,546.63,560.56,560.56,3736739
2014-07-17,561.37,578.56,551.76,568.54,568.54,13068756
2014-07-18,570.61,581.7,560.3,578.66,578.66,3074671
2014-07-21,582.02,584.28,576.24,579.89,579.89,14595945
2014-07-22,581.22,592.4,571.1,574.05,574.05,19364069
2014-07-23,575.79,581.71,566.51,570.07,570.07,18830196
2014-07-24,570.92,580.27,565.18,571.85,571.85,4293879
2014-07-25,570.43,571.76,560.91,565.85,565.85,8314724
2014-07-28,567.88,573.21,555.88,560.01,560.01,19483021
2014-07-29,563.06,569.11,549.83,557.46,557.46,3954109
2014-07-30,558.19,561.72,553.11,553.79,553.79,15004625
2014-07-31,551.4,566.08,546.25,558.21,558.21,3838448
2014-08-01,559.59,563.58,549.89,551.7,551.7,16543720
2014-08-04,549.47,550.55,533.53,543.35,543.35,5905629
2014-08-05,546.45,552.47,544.18,548.41,548.41,10488231
2014-08-06,546.15,557.79,542.2,553.73,553.73,6492299
2014-08-07,554.46,571.55,546.3,561.05,561.05,12156238
2014-08-08,558.59,569.81,550.08,564.54,564.54,11406392
2014-08-11,566.89,569.82,560.99,563.49,563.49,2542062
2014-08-12,567.61,570.99,557.48,567.37,567.37,2741457
2014-08-13,567.0,577.93,562.69,573.0,573.0,6844942
2014-08-14,570.53,583.37,559.36,575.25,575.25,7121394
2014-08-15,578.68,580.94,559.67,571.05,571.05,13798574
2014-08-18,569.84,583.99,558.68,572.88,572.88,7481749
2014-08-19,574.69,581.24,565.7,569.05,569.05,2920541
2014-08-20,568.43,570.19,563.82,567.17,567.17,15060282
2014-08-21,570.0,572.05,557.0,564.3,564.3,19392942
2014-08-22,560.93,572.01,550.04,565.45,565.45,6342300
2014-08-25,564.78,569.49,552.99,558.7,558.7,4013485
2014-08-26,557.37,563.83,545.15,553.19,553.19,5674207
2014-08-27,555.94,562.47,549.76,555.82,555.82,19880900
2014-08-28,553.4,562.34,545.44,552.8,552.8,12090609
2014-08-29,556.55,559.84,551.33,552.92,552.92,19928993
2014-09-01,550.22,560.16,539.47,543.5,543.5,14557283
2014-09-02,545.0,548.48,541.21,545.81,545.81,4940746
2014-09-03,546.24,551.12,536.67,538.96,538.96,2200265
2014-09-04,542.01,550.26,533.8,538.0,538.0,14044150
2014-09-05,534.99,548.03,532.57,540.34,540.34,18470241
2014-09-08,544.13,552.16,536.81,547.06,547.06,4011942
2014-09-09,547.74,553.88,540.74,545.16,545.16,14816365
2014-09-10,543.94,555.47,537.52,545.8,545.8,16462381
2014-09-11,545.86,557.48,544.43,551.49,551.49,2450976
2014-09-12,552.75,565.05,550.05,557.85,557.85,4867490
2014-09-15,557.18,568.33,554.92,561.0,561.0,3711678
2014-09-16,557.91,566.99,556.51,565.14,565.14,7287999
2014-09-17,562.31,563.36,549.19,559.11,559.11,15630704
2014-09-18,562.49,570.82,554.26,556.61,556.61,14321624
2014-09-19,553.48,559.51,548.8,553.6,553.6,5142419
2014-09-22,557.82,568.25,550.64,551.57,551.57,3221441
2014-09-23,547.29,557.54,542.83,551.05,551.05,8714388
2014-09-24,548.29,559.97,541.29,550.69,550.69,15184039
2014-09-25,553.8,569.26,545.46,559.79,559.79,17778546
2014-09-26,563.8,581.56,555.47,571.38,571.38,5415714
2014-09-29,570.72,581.67,562.74,569.78,569.78,17699875
2014-09-30,569.39,575.77,560.1,572.01,572.01,13440264
2014-10-01,576.24,580.36,569.5,579.02,579.02,19985889
2014-10-02,579.03,585.98,561.44,572.61,572.61,13482994
2014-10-03,573.22,578.54,563.33,568.47,568.47,2492240
