Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,169.55,170.98,164.2,167.37,167.37,10029506
2014-01-03,168.57,171.03,167.01,170.39,170.39,17757886
2014-01-06,169.52,172.89,167.55,170.61,170.61,10100917
2014-01-07,170.37,172.5,167.42,168.85,168.85,13302389
2014-01-08,167.52,168.52,164.24,168.1,168.1,13196597
2014-01-09,167.81,170.33,164.57,166.7,166.7,5324231
2014-01-10,167.06,169.85,165.99,168.68,168.68,12862871
2014-01-13,168.82,171.81,168.34,168.7,168.7,14591374
2014-01-14,167.58,168.74,163.35,165.33,165.33,2160799
2014-01-15,166.18,169.46,164.18,165.15,165.15,9716619
2014-01-16,164.4,168.11,164.0,166.05,166.05,11005307
2014-01-17,165.71,168.43,162.56,166.39,166.39,19858994
2014-01-20,166.75,168.71,165.9,166.95,166.95,7873512
2014-01-21,166.0,167.24,163.67,166.71,166.71,17958657
2014-01-22,167.01,167.94,164.87,167.08,167.08,12865532
2014-01-23,167.18,169.5,164.82,168.55,168.55,8748204
2014-01-24,169.5,172.7,169.31,170.95,170.95,5877346
2014-01-27,172.25,172.55,167.6,170.93,170.93,7480279
2014-01-28,169.65,174.42,168.78,171.44,171.44,12905465
2014-01-29,171.67,174.33,168.46,172.68,172.68,17660675
2014-01-30,171.73,173.9,168.42,169.59,169.59,13314453
2014-01-31,169.78,172.73,167.06,171.46,171.46,4333512
2014-02-03,172.56,175.5,168.56,171.42,171.42,7892550
2014-02-04,172.27,173.87,168.84,170.51,170.51,10853604
2014-02-05,171.26,174.92,170.54,172.56,172.56,17341029
2014-02-06,173.91,175.15,172.46,174.17,174.17,16827011
2014-02-07,173.76,174.29,171.69,173.09,173.09,12120480
2014-02-10,172.06,173.48,169.59,170.55,170.55,19092784
2014-02-11,171.14,173.5,168.22,170.91,170.91,6790721
2014-02-12,171.01,173.54,168.21,173.04,173.04,18834046
2014-02-13,171.98,173.19,168.29,170.47,170.47,17249105
2014-02-14,171.75,173.32,168.51,173.07,173.07,6817525
2014-02-17,174.1,176.41,171.55,176.08,176.08,6016392
2014-02-18,176.14,179.24,174.05,178.57,178.57,14854121
2014-02-19,178.37,180.81,174.06,175.75,175.75,4412306
2014-02-20,176.83,178.07,173.08,175.84,175.84,8141063
2014-02-21,174.77,178.83,172.91,175.53,175.53,9287111
2014-02-24,176.9,182.38,175.18,179.23,179.23,4611917
2014-02-25,177.82,182.59,177.41,180.08,180.08,19279417
2014-02-26,181.33,184.72,178.18,183.77,183.77,18717548
2014-02-27,184.08,185.51,181.04,184.3,184.3,3624150
2014-02-28,182.9,185.0,179.65,182.16,182.16,9793597
2014-03-03,182.67,186.14,177.26,180.44,180.44,18960739
2014-03-04,179.46,180.91,176.68,180.14,180.14,19493243
2014-03-05,179.36,181.14,174.23,177.14,177.14,8560925
2014-03-06,177.29,178.42,174.71,176.85,176.85,11360534
2014-03-07,178.04,182.42,174.85,179.5,179.5,16211742
2014-03-10,180.11,182.25,177.88,180.51,180.51,6435544
2014-03-11,181.48,182.49,177.46,180.21,180.21,3878106
2014-03-12,181.59,185.52,178.84,182.01,182.01,6845896
2014-03-13,181.46,182.19,176.1,178.91,178.91,19647727
2014-03-14,179.54,180.99,177.06,177.84,177.84,7825945
2014-03-17,177.01,179.08,174.86,176.37,176.37,6622684
