Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,240.51,243.36,234.28,238.09,238.09,107856619
2014-01-03,236.52,242.72,236.23,239.82,239.82,63165397
2014-01-06,239.48,245.13,236.32,241.26,241.26,104811074
2014-01-07,240.78,245.61,239.45,243.34,243.34,42603950
2014-01-08,245.09,248.4,240.5,244.81,244.81,52884538
2014-01-09,243.77,248.39,237.6,242.18,242.18,72423500
2014-01-10,240.35,245.44,237.11,241.46,241.46,53545483
2014-01-13,240.18,242.87,234.94,238.7,238.7,89150852
2014-01-14,237.79,243.11,237.0,240.65,240.65,55125249
2014-01-15,239.72,246.36,236.31,242.8,242.8,66920638
2014-01-16,241.3,247.38,237.49,244.77,244.77,39858654
2014-01-17,245.83,246.36,239.85,242.62,242.62,48588614
2014-01-20,240.76,242.19,236.25,238.55,238.55,83242335
2014-01-21,240.04,241.47,237.18,238.09,238.09,54255805
2014-01-22,239.22,242.2,233.89,236.17,236.17,43065356
2014-01-23,237.73,239.32,236.61,238.36,238.36,47449629
2014-01-24,239.85,241.76,235.74,240.52,240.52,47778125
2014-01-27,241.31,245.73,240.25,241.13,241.13,78479188
2014-01-28,239.55,242.45,236.89,239.69,239.69,30115350
2014-01-29,238.04,241.24,233.88,236.06,236.06,103446986
2014-01-30,235.62,238.65,229.07,232.83,232.83,87665297
2014-01-31,234.11,236.62,227.81,231.75,231.75,91098687
2014-02-03,232.49,238.38,227.85,233.87,233.87,109694250
2014-02-04,232.26,234.25,230.46,230.87,230.87,94706479
2014-02-05,229.55,231.55,226.52,226.95,226.95,115573452
2014-02-06,227.96,228.31,226.28,228.06,228.06,35557301
2014-02-07,227.29,233.02,225.88,229.08,229.08,42316034
2014-02-10,229.45,230.27,227.22,228.78,228.78,104088439
2014-02-11,230.57,234.2,228.07,228.32,228.32,107759586
2014-02-12,226.68,229.69,221.61,224.37,224.37,104445425
2014-02-13,225.29,228.39,222.19,224.89,224.89,118251831
2014-02-14,223.33,227.47,221.73,223.39,223.39,32739732
2014-02-17,224.66,227.69,223.19,225.43,225.43,86308944
2014-02-18,227.01,229.03,220.91,224.42,224.42,82593327
2014-02-19,224.56,228.61,222.92,226.48,226.48,92070994
2014-02-20,228.27,229.96,223.18,227.66,227.66,37546356
2014-02-21,228.46,231.55,222.95,227.03,227.03,31321390
2014-02-24,225.87,228.25,221.4,225.46,225.46,103934486
2014-02-25,226.48,231.59,222.66,227.42,227.42,46139645
2014-02-26,228.26,228.81,222.2,225.98,225.98,95730934
2014-02-27,224.89,226.38,221.13,225.8,225.8,91055972
2014-02-28,226.83,228.09,224.1,226.74,226.74,92836606
2014-03-03,226.38,229.98,225.16,229.36,229.36,110789054
2014-03-04,228.49,230.56,223.36,227.79,227.79,49232092
2014-03-05,228.64,232.63,228.08,231.48,231.48,106820633
2014-03-06,230.29,234.59,223.17,227.39,227.39,92516453
2014-03-07,227.93,228.67,224.34,228.34,228.34,52519593
2014-03-10,227.13,231.52,225.19,228.7,228.7,93576678
2014-03-11,229.45,230.9,224.86,229.75,229.75,31425799
2014-03-12,228.19,230.91,226.33,229.73,229.73,53745250
2014-03-13,230.05,230.96,227.41,230.3,230.3,87117565
2014-03-14,231.05,236.11,228.51,234.33,234.33,95769778
2014-03-17,233.35,236.28,229.97,232.36,232.36,57522554
2014-03-18,233.39,234.01,229.7,232.66,232.66,97063063
2014-03-19,231.45,234.43,230.64,233.78,233.78,53811023
2014-03-20,232.42,234.53,227.35,229.01,229.01,102863727
2014-03-21,229.48,234.91,226.54,232.47,232.47,57213615
2014-03-24,232.81,235.9,228.57,229.63,229.63,47342879
