Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,524.19,537.04,521.31,528.48,528.48,10794886
2014-01-03,528.09,537.6,521.16,524.58,524.58,7666661
2014-01-06,523.61,535.9,516.48,525.93,525.93,15360123
2014-01-07,521.9,530.87,512.33,529.54,529.54,10131171
2014-01-08,529.99,536.39,517.45,527.91,527.91,6537138
2014-01-09,526.3,534.84,513.99,518.85,518.85,19718028
2014-01-10,516.54,526.37,512.69,514.87,514.87,13604105
2014-01-13,517.16,526.9,515.45,521.16,521.16,13448818
2014-01-14,521.28,525.86,518.65,524.05,524.05,16230729
2014-01-15,525.66,534.27,516.31,530.7,530.7,13602160
2014-01-16,532.86,538.47,523.81,528.95,528.95,11067021
2014-01-17,529.46,534.03,528.71,531.89,531.89,6447333
2014-01-20,534.87,538.82,524.06,528.08,528.08,7493828
2014-01-21,528.5,538.66,511.78,521.9,521.9,8255256
2014-01-22,521.21,528.27,509.0,518.77,518.77,10543302
2014-01-23,522.36,530.44,505.97,514.78,514.78,14955166
2014-01-24,516.65,524.93,506.53,516.52,516.52,17568746
2014-01-27,520.52,530.19,505.81,515.68,515.68,2437881
2014-01-28,516.39,521.38,504.75,509.63,509.63,13470286
2014-01-29,511.13,514.38,508.63,511.09,511.09,6988202
2014-01-30,508.42,516.95,505.52,514.68,514.68,5966802
2014-01-31,515.28,517.98,500.22,509.21,509.21,11098918
2014-02-03,507.46,516.2,503.51,509.53,509.53,13199295
2014-02-04,509.17,512.45,501.15,502.09,502.09,19121913
2014-02-05,499.12,513.33,490.71,505.96,505.96,9810378
2014-02-06,502.55,505.4,487.21,496.8,496.8,13377064
2014-02-07,492.91,502.63,481.05,489.11,489.11,14483582
2014-02-10,488.43,495.54,485.37,487.12,487.12,3233126
2014-02-11,483.76,490.62,475.9,476.98,476.98,10356882
2014-02-12,473.54,478.36,465.55,468.92,468.92,13838420
2014-02-13,469.45,473.39,466.3,472.61,472.61,8541735
2014-02-14,471.08,486.5,467.0,477.84,477.84,3255773
2014-02-17,478.6,480.8,470.81,478.03,478.03,13100146
2014-02-18,474.72,482.59,472.67,476.43,476.43,2865142
2014-02-19,474.5,484.19,466.85,480.8,480.8,6496772
2014-02-20,481.24,493.48,475.93,485.23,485.23,19252296
