Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,178.81,181.36,175.78,176.16,176.16,33032305
2014-01-03,176.12,181.67,172.88,178.37,178.37,47980340
2014-01-06,179.4,182.2,178.58,178.95,178.95,103744437
2014-01-07,178.76,181.6,177.47,179.12,179.12,106083979
2014-01-08,180.06,181.94,175.66,178.25,178.25,75253003
2014-01-09,178.37,181.47,176.96,179.64,179.64,102222256
2014-01-10,178.96,181.67,178.49,178.98,178.98,38278101
2014-01-13,180.2,181.6,177.36,178.1,178.1,91599239
2014-01-14,178.1,179.01,175.54,178.15,178.15,59958260
2014-01-15,178.84,180.87,176.21,179.53,179.53,34954298
2014-01-16,179.93,180.24,177.18,178.71,178.71,65130966
2014-01-17,179.38,182.9,173.71,177.22,177.22,54119077
2014-01-20,178.11,178.89,175.31,175.84,175.84,117805752
2014-01-21,175.73,177.21,172.34,173.32,173.32,40995509
2014-01-22,173.75,178.54,173.05,175.75,175.75,86711913
2014-01-23,176.84,180.01,175.54,176.58,176.58,53078374
2014-01-24,177.57,182.72,175.09,180.1,180.1,98474411
2014-01-27,180.05,181.73,179.74,180.02,180.02,68390159
2014-01-28,178.68,180.95,175.01,177.13,177.13,47938331
2014-01-29,177.9,182.93,177.09,179.37,179.37,73305351
2014-01-30,179.06,182.25,176.36,178.85,178.85,51689323
2014-01-31,179.7,183.27,177.57,177.77,177.77,57665669
2014-02-03,177.56,178.13,175.23,176.61,176.61,71412530
2014-02-04,175.49,179.14,174.93,177.63,177.63,116585520
2014-02-05,178.15,183.84,174.84,180.35,180.35,109171451
2014-02-06,180.69,182.96,177.68,178.37,178.37,109590344
2014-02-07,178.42,179.17,173.85,175.93,175.93,37017868
2014-02-10,176.23,176.64,174.36,174.58,174.58,115995923
2014-02-11,173.51,174.68,172.22,174.42,174.42,104120592
2014-02-12,173.46,174.99,169.45,171.51,171.51,119613437
2014-02-13,171.28,172.52,167.11,170.0,170.0,52439604
2014-02-14,170.01,170.75,168.43,168.98,168.98,107394117
2014-02-17,169.94,171.93,167.22,168.63,168.63,89086950
2014-02-18,167.42,168.32,166.57,166.98,166.98,59740468
2014-02-19,166.39,168.11,164.1,164.59,164.59,89410063
2014-02-20,165.53,170.93,164.61,167.85,167.85,45860034
2014-02-21,167.46,167.66,165.23,166.56,166.56,36471200
2014-02-24,167.85,168.33,163.29,166.37,166.37,70160919
2014-02-25,167.55,172.99,164.7,170.0,170.0,114921584
2014-02-26,170.93,174.92,169.95,171.5,171.5,30574225
2014-02-27,170.6,172.88,168.17,171.11,171.11,100672602
2014-02-28,170.6,171.82,167.08,168.04,168.04,101839108
2014-03-03,169.24,172.33,167.65,171.33,171.33,35238969
2014-03-04,170.74,171.38,168.34,171.19,171.19,91244588
2014-03-05,171.87,173.27,169.28,170.56,170.56,55838138
2014-03-06,171.9,174.08,171.52,172.4,172.4,58120438
2014-03-07,172.25,175.56,171.51,174.5,174.5,58631711
2014-03-10,173.2,176.08,171.92,175.2,175.2,102608433
2014-03-11,175.51,179.89,175.3,176.99,176.99,54669090
2014-03-12,176.16,177.9,171.38,173.67,173.67,30954092
2014-03-13,172.6,175.46,170.6,172.38,172.38,85772356
2014-03-14,171.4,173.59,167.89,170.47,170.47,63769063
2014-03-17,170.44,173.81,166.25,168.52,168.52,33760299
2014-03-18,168.91,172.73,167.32,170.95,170.95,42760942
2014-03-19,170.75,173.52,167.34,170.77,170.77,75204575
2014-03-20,171.36,175.29,170.98,173.32,173.32,75101573
2014-03-21,173.64,175.89,169.68,171.75,171.75,89218012
2014-03-24,171.5,174.34,171.11,173.54,173.54,55411936
2014-03-25,174.91,177.96,172.42,176.91,176.91,67723976
2014-03-26,175.53,177.51,173.26,176.26,176.26,37124149
2014-03-27,176.64,179.65,173.78,176.77,176.77,115835292
2014-03-28,178.13,181.49,174.17,177.06,177.06,103151745
2014-03-31,177.29,177.86,174.38,177.28,177.28,54223401
2014-04-01,177.31,181.74,176.09,179.68,179.68,106903427
2014-04-02,179.01,181.0,176.59,179.86,179.86,36098571
2014-04-03,180.25,181.98,174.96,177.95,177.95,68463947
2014-04-04,177.14,181.32,173.84,178.48,178.48,74064707
2014-04-07,178.05,178.56,175.09,177.32,177.32,110744382
2014-04-08,177.33,179.61,173.79,177.69,177.69,108036392
2014-04-09,177.1,180.51,173.7,175.99,175.99,86788705
2014-04-10,175.93,180.42,173.47,177.84,177.84,54625061
2014-04-11,179.03,180.79,176.31,179.91,179.91,96999703
2014-04-14,181.31,184.64,178.43,180.95,180.95,93472382
2014-04-15,180.53,181.31,179.16,180.49,180.49,45176667
2014-04-16,180.65,181.86,176.96,178.02,178.02,43688642
2014-04-17,177.3,180.57,176.89,177.63,177.63,83303603
2014-04-18,176.26,179.36,174.14,175.89,175.89,67200904
2014-04-21,174.82,176.83,170.74,172.46,172.46,53287848
2014-04-22,172.91,174.46,169.0,172.38,172.38,68418209
2014-04-23,173.36,174.35,171.96,173.43,173.43,110250069
2014-04-24,174.0,179.09,172.8,175.72,175.72,105102351
2014-04-25,176.61,176.92,174.19,175.43,175.43,37255652
2014-04-28,176.15,178.68,172.75,176.28,176.28,115580970
2014-04-29,175.5,176.94,172.31,173.88,173.88,42766274
2014-04-30,173.04,173.85,171.04,173.58,173.58,107644394
2014-05-01,173.17,175.93,170.61,173.87,173.87,111780539
2014-05-02,173.38,175.75,169.6,171.89,171.89,34599122
2014-05-05,171.83,175.38,170.17,174.15,174.15,104198946
2014-05-06,175.17,176.42,170.58,173.51,173.51,97389083
2014-05-07,173.86,175.67,172.38,175.14,175.14,53650229
2014-05-08,174.05,175.14,169.64,172.95,172.95,101848431
2014-05-09,171.58,172.34,168.26,169.1,169.1,74304449
2014-05-12,170.0,171.3,167.08,170.93,170.93,118820513
2014-05-13,170.19,172.88,166.49,168.54,168.54,106124395
