Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,292.83,302.82,292.03,296.96,296.96,5838769
2014-01-03,297.89,302.36,296.44,298.77,298.77,18618141
2014-01-06,300.79,303.9,295.84,298.57,298.57,15545414
2014-01-07,297.04,298.47,288.97,293.45,293.45,13587960
2014-01-08,291.51,297.56,289.51,293.98,293.98,10025940
2014-01-09,294.71,298.03,286.98,291.64,291.64,9562055
2014-01-10,290.89,291.44,284.53,289.52,289.52,17125388
2014-01-13,288.21,291.04,279.29,284.16,284.16,14310636
2014-01-14,284.09,286.76,279.06,285.11,285.11,11849224
2014-01-15,283.48,290.36,278.57,286.96,286.96,16117968
2014-01-16,284.89,289.79,283.58,286.15,286.15,5456943
2014-01-17,285.14,290.75,284.65,286.96,286.96,5376747
2014-01-20,287.35,290.56,282.29,286.12,286.12,4815842
2014-01-21,287.36,291.98,281.91,286.83,286.83,13102095
2014-01-22,286.1,289.81,282.7,285.05,285.05,13509996
2014-01-23,283.33,289.56,279.02,287.31,287.31,3238030
2014-01-24,286.68,289.3,283.59,285.24,285.24,16031724
2014-01-27,285.47,291.06,285.16,287.11,287.11,19321673
2014-01-28,286.58,287.09,283.8,285.64,285.64,9095401
2014-01-29,287.1,290.82,286.15,289.87,289.87,4836518
2014-01-30,287.85,291.3,286.28,288.73,288.73,13762328
2014-01-31,288.86,295.31,283.42,291.97,291.97,14352179
2014-02-03,290.23,292.75,284.7,291.79,291.79,18736078
2014-02-04,293.53,297.69,292.86,296.56,296.56,9484800
2014-02-05,297.11,298.28,294.61,297.6,297.6,4098478
2014-02-06,297.82,305.9,295.29,300.89,300.89,16005998
2014-02-07,298.95,303.79,294.79,301.87,301.87,17632349
2014-02-10,301.88,307.09,298.66,299.6,299.6,5820818
2014-02-11,301.66,306.27,297.29,301.61,301.61,5536051
2014-02-12,299.57,302.54,295.67,296.65,296.65,6028958
2014-02-13,296.7,300.99,291.16,298.79,298.79,5150063
2014-02-14,300.39,301.48,296.57,299.99,299.99,6217067
2014-02-17,298.59,303.86,294.04,297.77,297.77,4925325
2014-02-18,295.44,297.82,294.78,296.91,296.91,5764169
2014-02-19,298.81,306.68,297.95,302.14,302.14,18183701
2014-02-20,301.29,302.49,293.36,297.89,297.89,15232162
2014-02-21,297.87,299.03,292.55,295.11,295.11,18333606
2014-02-24,293.92,295.95,289.98,293.81,293.81,6724149
2014-02-25,293.9,295.28,290.24,291.16,291.16,7128660
2014-02-26,292.38,298.3,287.42,294.94,294.94,18122042
2014-02-27,293.02,295.98,288.07,294.89,294.89,19326397
2014-02-28,293.84,299.1,292.9,296.18,296.18,10079559
