Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,149.4,153.03,148.49,150.57,150.57,18268714
2014-01-03,150.55,152.43,147.59,151.61,151.61,11400793
2014-01-06,152.07,152.45,147.88,150.2,150.2,19097675
2014-01-07,149.7,152.7,148.58,149.91,149.91,8727138
2014-01-08,149.76,152.72,148.29,148.78,148.78,17828260
2014-01-09,148.13,150.97,145.49,148.21,148.21,9785078
2014-01-10,147.65,150.21,146.38,147.46,147.46,7130043
2014-01-13,148.62,151.58,147.26,150.5,150.5,15303283
2014-01-14,150.71,153.68,147.75,152.13,152.13,12682958
2014-01-15,151.93,153.97,148.94,151.33,151.33,7370161
2014-01-16,152.16,154.58,150.76,153.92,153.92,10341072
2014-01-17,154.94,155.45,152.98,153.53,153.53,16940242
2014-01-20,152.44,153.04,148.97,151.0,151.0,12926010
2014-01-21,150.78,153.91,148.84,152.55,152.55,2778089
2014-01-22,153.25,154.96,149.3,151.2,151.2,3428898
2014-01-23,150.83,152.6,150.02,152.37,152.37,2993883
2014-01-24,153.41,154.23,150.08,153.03,153.03,13408842
2014-01-27,153.81,156.53,150.32,152.34,152.34,18932417
2014-01-28,153.49,157.83,150.8,155.25,155.25,5239364
2014-01-29,155.96,157.9,153.14,155.61,155.61,9158730
2014-01-30,156.14,158.17,150.9,153.81,153.81,18908082
2014-01-31,154.57,157.86,153.26,155.02,155.02,5747168
2014-02-03,154.47,155.68,152.43,154.99,154.99,13650304
2014-02-04,155.25,157.64,152.94,153.47,153.47,16707979
2014-02-05,154.51,158.23,153.7,155.53,155.53,6000661
2014-02-06,155.52,159.71,153.85,157.58,157.58,5665880
2014-02-07,156.57,157.96,152.89,154.7,154.7,6878012
2014-02-10,154.85,159.34,153.95,157.15,157.15,18331638
2014-02-11,157.02,158.65,156.12,157.16,157.16,14212947
2014-02-12,156.13,156.43,151.15,154.18,154.18,10416311
2014-02-13,152.97,155.96,150.84,154.3,154.3,11931463
2014-02-14,153.26,155.32,151.41,153.49,153.49,17931255
2014-02-17,153.43,153.8,151.16,151.44,151.44,9862468
2014-02-18,151.16,151.93,146.19,149.04,149.04,3832006
2014-02-19,149.31,152.04,147.29,149.37,149.37,2410106
