Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,90.0,90.25,87.46,89.17,89.17,3864815
2014-01-03,89.57,90.89,87.66,89.07,89.07,19007318
2014-01-06,88.41,89.45,88.14,88.47,88.47,11630855
2014-01-07,87.83,89.05,86.19,87.75,87.75,15954885
2014-01-08,87.18,88.71,85.51,88.08,88.08,16036050
2014-01-09,87.8,88.18,85.58,86.83,86.83,2251713
2014-01-10,87.15,88.81,85.64,86.24,86.24,12815659
2014-01-13,86.58,88.24,84.1,85.59,85.59,4600425
2014-01-14,85.72,85.82,83.96,85.05,85.05,2204623
2014-01-15,85.35,86.8,82.97,84.33,84.33,4231745
2014-01-16,84.77,85.43,84.26,84.49,84.49,8823198
2014-01-17,84.21,85.68,82.98,84.14,84.14,2377509
2014-01-20,84.21,85.4,83.25,84.4,84.4,6067950
2014-01-21,84.95,86.61,84.39,85.36,85.36,9096011
2014-01-22,85.21,86.66,84.53,84.86,84.86,10053936
2014-01-23,84.8,86.37,82.87,84.15,84.15,13271421
2014-01-24,84.48,86.13,83.74,85.07,85.07,10162843
2014-01-27,85.58,86.59,84.05,86.49,86.49,6505284
2014-01-28,86.54,86.82,85.61,86.08,86.08,5268568
2014-01-29,86.77,87.91,85.37,86.21,86.21,5238189
2014-01-30,86.8,87.17,85.68,86.47,86.47,10045272
2014-01-31,86.05,87.25,84.52,86.31,86.31,14641553
2014-02-03,86.83,88.24,85.55,86.4,86.4,14987087
2014-02-04,86.36,86.96,84.97,86.69,86.69,4935848
2014-02-05,87.29,89.76,86.82,88.38,88.38,8637253
2014-02-06,88.84,91.38,87.15,90.07,90.07,14789797
2014-02-07,89.74,90.53,88.73,90.24,90.24,11089087
2014-02-10,90.43,90.7,88.58,89.36,89.36,12094565
2014-02-11,89.44,90.85,88.34,89.19,89.19,14372008
2014-02-12,89.78,91.56,88.8,90.85,90.85,18531116
2014-02-13,90.38,92.17,88.65,89.41,89.41,12476877
2014-02-14,89.11,91.53,88.66,89.89,89.89,11091789
2014-02-17,89.41,92.26,88.79,90.48,90.48,16650953
2014-02-18,90.63,91.96,88.92,89.76,89.76,7104114
2014-02-19,90.44,92.17,88.45,89.15,89.15,17028642
2014-02-20,89.54,90.85,87.67,88.57,88.57,6333150
2014-02-21,88.41,89.81,87.34,89.05,89.05,11655746
2014-02-24,88.53,89.78,87.23,88.17,88.17,5103114
2014-02-25,88.58,89.38,86.85,87.4,87.4,13786168
2014-02-26,87.01,89.46,85.75,88.04,88.04,2895923
2014-02-27,88.4,88.55,86.34,87.88,87.88,5774156
2014-02-28,88.13,89.67,86.13,87.09,87.09,13633661
2014-03-03,87.29,89.99,85.63,88.39,88.39,18620407
2014-03-04,88.19,88.78,87.69,88.35,88.35,14248063
2014-03-05,88.42,90.77,86.75,89.17,89.17,12488456
2014-03-06,88.53,89.62,87.06,87.75,87.75,13726374
2014-03-07,87.62,88.9,85.74,87.06,87.06,18657318
2014-03-10,86.44,87.73,84.82,85.23,85.23,3526281
2014-03-11,84.92,86.67,83.81,84.98,84.98,13419373
2014-03-12,84.36,84.63,83.96,84.52,84.52,12663663
2014-03-13,84.9,85.4,83.74,84.29,84.29,8442884
2014-03-14,84.71,85.86,84.01,84.56,84.56,2672904
2014-03-17,83.97,84.06,82.73,83.01,83.01,13666475
2014-03-18,82.64,84.72,82.34,83.31,83.31,9873788
2014-03-19,83.96,85.4,82.68,84.35,84.35,9412688
2014-03-20,84.68,85.91,84.21,85.36,85.36,7447473
2014-03-21,85.6,86.7,85.23,85.33,85.33,3021054
2014-03-24,85.81,86.77,84.06,85.31,85.31,10995642
2014-03-25,84.97,86.58,83.87,86.05,86.05,2326972
2014-03-26,85.74,85.97,85.34,85.84,85.84,9233632
2014-03-27,86.05,88.27,85.58,86.62,86.62,6821305
2014-03-28,87.2,88.65,85.52,88.34,88.34,8037189
2014-03-31,88.95,89.41,87.2,88.02,88.02,19412387
2014-04-01,88.59,89.5,87.15,89.19,89.19,7493181
2014-04-02,89.62,89.87,87.41,88.46,88.46,15961064
2014-04-03,88.74,89.12,88.4,88.76,88.76,12741964
2014-04-04,89.38,91.14,89.13,89.97,89.97,17046786
2014-04-07,90.15,90.86,87.8,89.48,89.48,18741124
2014-04-08,89.76,91.29,89.32,90.83,90.83,19286731
2014-04-09,90.15,90.44,89.66,89.85,89.85,17461801
2014-04-10,89.89,90.84,87.39,88.78,88.78,10159327
2014-04-11,88.17,88.31,86.99,87.13,87.13,15437747
2014-04-14,86.94,87.4,86.07,87.14,87.14,3733397
2014-04-15,86.64,88.84,85.48,87.87,87.87,9048285
2014-04-16,88.14,90.98,86.91,89.29,89.29,13743252
2014-04-17,89.0,90.78,88.78,88.96,88.96,15230906
2014-04-18,88.83,91.29,87.75,89.54,89.54,18722908
2014-04-21,90.11,91.59,88.95,90.69,90.69,8011501
2014-04-22,90.77,92.07,89.86,90.52,90.52,11654077
2014-04-23,90.16,92.0,89.59,90.62,90.62,2666530
2014-04-24,90.93,91.05,89.26,90.82,90.82,7544633
2014-04-25,90.17,91.62,89.0,90.57,90.57,7576548
2014-04-28,90.02,91.19,89.59,89.97,89.97,6703712
2014-04-29,90.35,90.76,89.08,90.01,90.01,16937224
2014-04-30,90.27,91.61,90.02,90.46,90.46,17699890
2014-05-01,91.15,91.31,90.46,90.65,90.65,11471938
2014-05-02,90.95,91.06,89.06,90.23,90.23,12350111
2014-05-05,90.2,91.95,88.81,88.96,88.96,11677487
2014-05-06,88.82,90.05,87.55,87.74,87.74,18679473
2014-05-07,87.72,88.41,87.06,88.01,88.01,6702881
2014-05-08,87.94,89.04,86.53,87.08,87.08,14137201
2014-05-09,87.42,88.29,85.96,86.97,86.97,10072448
2014-05-12,87.15,88.02,84.73,86.38,86.38,18256374
2014-05-13,87.03,87.8,86.03,86.77,86.77,9462467
2014-05-14,86.69,87.55,86.33,87.02,87.02,12233193
2014-05-15,87.16,87.34,86.04,86.22,86.22,15300250
2014-05-16,86.32,87.81,85.16,85.44,85.44,16441364
2014-05-19,85.22,86.77,84.47,85.02,85.02,7939202
2014-05-20,85.54,86.95,84.19,86.38,86.38,4147765
2014-05-21,85.83,86.63,84.24,86.53,86.53,7399771
2014-05-22,86.23,87.65,84.99,87.23,87.23,8032783
2014-05-23,87.87,89.73,86.59,88.82,88.82,16341428
2014-05-26,88.88,89.64,87.94,89.02,89.02,2813833
2014-05-27,89.37,91.76,88.1,90.05,90.05,3164009
2014-05-28,89.63,90.05,87.98,88.83,88.83,14776537
2014-05-29,89.39,91.75,87.92,90.42,90.42,17874672
2014-05-30,90.04,91.63,87.68,88.98,88.98,9325127
2014-06-02,89.6,91.65,89.23,90.77,90.77,8350212
2014-06-03,90.89,92.73,90.24,91.83,91.83,5974823
2014-06-04,92.5,94.34,91.37,92.76,92.76,10070991
2014-06-05,92.07,93.99,91.86,92.25,92.25,3920738
2014-06-06,92.44,93.27,92.01,92.86,92.86,7637046
2014-06-09,92.94,95.16,92.8,93.69,93.69,14657888
2014-06-10,94.26,96.54,92.61,94.93,94.93,4421135
2014-06-11,94.57,96.26,92.67,93.64,93.64,17765458
2014-06-12,93.98,95.72,92.39,93.48,93.48,10987415
2014-06-13,93.07,94.8,91.52,93.89,93.89,18437355
2014-06-16,94.07,96.82,93.84,95.43,95.43,9378461
2014-06-17,94.99,95.73,93.97,94.46,94.46,13505968
2014-06-18,93.76,95.06,93.08,93.82,93.82,16771039
2014-06-19,94.27,95.9,93.2,94.1,94.1,4375203
2014-06-20,93.52,96.51,93.13,94.87,94.87,6664457
2014-06-23,94.23,95.72,93.28,93.47,93.47,14671470
2014-06-24,93.6,93.78,91.91,93.13,93.13,2632109
2014-06-25,93.2,96.02,92.17,94.37,94.37,12104578
2014-06-26,93.62,95.05,92.04,94.76,94.76,6092157
2014-06-27,95.19,96.61,93.32,95.08,95.08,18687437
2014-06-30,94.34,96.45,93.1,95.55,95.55,16907267
2014-07-01,95.12,96.21,94.34,95.78,95.78,17563452
2014-07-02,95.83,97.33,94.71,95.29,95.29,15815434
2014-07-03,95.8,96.77,92.9,94.53,94.53,12241490
2014-07-04,94.78,96.52,94.48,95.84,95.84,10551155
2014-07-07,95.59,96.54,94.55,95.28,95.28,2888147
2014-07-08,95.37,97.74,94.53,96.38,96.38,19304653
2014-07-09,95.69,97.55,93.89,96.24,96.24,4769944
2014-07-10,96.57,97.57,95.85,96.37,96.37,14091452
2014-07-11,96.06,99.04,95.09,97.42,97.42,16278760
2014-07-14,97.31,97.76,96.64,96.9,96.9,4274788
2014-07-15,96.18,96.7,95.77,96.36,96.36,9873342
2014-07-16,95.8,96.62,95.11,96.25,96.25,7820808
2014-07-17,96.81,97.79,96.09,97.08,97.08,13614451
2014-07-18,96.81,99.87,95.53,98.13,98.13,7685946
2014-07-21,97.94,99.29,97.35,98.94,98.94,8434392
2014-07-22,98.29,100.11,97.88,99.14,99.14,4932382
2014-07-23,98.82,100.82,98.62,99.17,99.17,4345725
2014-07-24,99.24,100.69,97.77,100.55,100.55,14278096
2014-07-25,101.28,104.59,99.6,102.6,102.6,13929148
2014-07-28,103.42,104.37,101.48,102.99,102.99,6456314
2014-07-29,102.62,104.02,101.45,103.7,103.7,3340946
2014-07-30,103.23,105.93,101.92,104.52,104.52,11485146
2014-07-31,105.05,106.99,104.36,104.75,104.75,8920568
2014-08-01,104.24,105.44,103.91,104.49,104.49,11065106
2014-08-04,104.83,106.23,104.34,104.77,104.77,10193279
2014-08-05,104.17,106.73,104.03,105.64,105.64,9116358
2014-08-06,105.13,105.71,103.87,105.31,105.31,7064155
2014-08-07,105.78,106.78,103.69,105.27,105.27,9908816
2014-08-08,105.22,107.09,104.19,106.54,106.54,4810612
2014-08-11,105.77,106.17,103.17,104.34,104.34,16638315
2014-08-12,103.58,104.0,102.91,103.55,103.55,13329490
2014-08-13,104.32,104.81,102.18,104.01,104.01,8619417
2014-08-14,103.19,106.77,102.58,104.72,104.72,19407811
2014-08-15,104.31,106.41,102.68,105.76,105.76,19040101
2014-08-18,105.89,108.34,104.42,106.33,106.33,4384853
2014-08-19,106.25,108.19,103.56,104.98,104.98,15596432
2014-08-20,105.75,108.46,104.13,106.75,106.75,7752789
2014-08-21,106.62,108.78,106.03,108.0,108.0,18730891
2014-08-22,108.27,109.7,107.44,108.02,108.02,5598380
2014-08-25,108.03,108.91,106.76,106.89,106.89,6452922
2014-08-26,107.31,108.39,104.92,106.23,106.23,9705487
2014-08-27,105.43,106.09,104.58,105.41,105.41,10651764
2014-08-28,104.98,106.87,103.36,105.35,105.35,8681180
2014-08-29,104.75,105.35,103.66,104.19,104.19,4799072
2014-09-01,104.22,104.44,102.0,103.6,103.6,4814621
2014-09-02,103.41,104.31,101.13,102.43,102.43,17123879
2014-09-03,101.89,102.5,99.87,102.32,102.32,8300607
2014-09-04,103.07,103.39,101.66,102.78,102.78,14172091
2014-09-05,102.02,103.8,99.43,100.66,100.66,19768292
2014-09-08,100.1,101.7,99.72,100.55,100.55,16445536
2014-09-09,100.4,101.66,98.06,99.58,99.58,2706666
2014-09-10,98.91,100.91,98.18,99.05,99.05,15582632
2014-09-11,98.35,99.21,96.4,97.2,97.2,12989168
2014-09-12,97.86,99.37,97.71,98.13,98.13,14139966
2014-09-15,98.06,98.21,97.18,97.89,97.89,9554951
2014-09-16,97.99,100.99,96.8,99.15,99.15,13126312
2014-09-17,98.83,100.36,98.71,99.89,99.89,9514794
2014-09-18,99.53,100.83,98.59,99.97,99.97,13052780
2014-09-19,99.86,101.61,97.54,98.38,98.38,2844520
2014-09-22,97.68,99.0,95.34,96.71,96.71,14220142
2014-09-23,97.25,97.97,94.73,96.31,96.31,19286392
2014-09-24,96.83,98.12,95.17,95.9,95.9,3078444
2014-09-25,96.27,97.0,94.59,96.08,96.08,3720401
2014-09-26,95.54,96.71,95.25,96.42,96.42,8685282
2014-09-29,97.01,98.21,96.22,97.86,97.86,8824143
2014-09-30,97.74,98.03,96.28,97.39,97.39,14786364
2014-10-01,97.45,98.73,96.42,96.78,96.78,3702892
2014-10-02,96.69,98.04,96.01,96.71,96.71,10227867
2014-10-03,96.5,97.63,96.23,96.65,96.65,15309573
2014-10-06,97.17,100.17,95.64,98.28,98.28,4705846
2014-10-07,98.56,99.58,97.07,98.23,98.23,8639597
