Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,386.22,394.38,385.37,388.24,388.24,2126015
2014-01-03,385.28,389.43,377.43,384.66,384.66,18872800
2014-01-06,381.71,388.9,375.39,379.91,379.91,16451802
2014-01-07,381.56,388.96,375.41,378.32,378.32,2797152
2014-01-08,379.62,383.68,372.88,374.72,374.72,16148791
2014-01-09,374.33,378.44,369.15,375.13,375.13,12789874
2014-01-10,372.77,375.04,362.73,368.59,368.59,14984701
2014-01-13,366.77,368.08,362.5,364.66,364.66,5087236
2014-01-14,366.55,373.47,362.63,367.73,367.73,2209575
2014-01-15,369.19,374.11,360.68,365.21,365.21,10964481
2014-01-16,362.83,368.8,360.12,364.92,364.92,14797459
2014-01-17,363.12,366.4,359.19,365.47,365.47,9752731
2014-01-20,366.12,369.86,363.29,365.55,365.55,19897792
2014-01-21,364.66,373.48,358.21,366.31,366.31,6562003
2014-01-22,364.12,366.2,356.69,360.79,360.79,13993178
2014-01-23,363.52,374.31,361.13,368.31,368.31,7319813
2014-01-24,370.54,377.57,368.62,374.87,374.87,5555496
2014-01-27,372.1,377.68,361.88,367.82,367.82,2947677
2014-01-28,366.74,373.51,361.7,366.75,366.75,15910570
2014-01-29,369.33,380.18,363.31,372.96,372.96,3255428
2014-01-30,370.55,377.75,368.54,373.15,373.15,19332255
2014-01-31,370.49,372.63,364.04,366.84,366.84,5366434
2014-02-03,367.55,370.97,359.94,362.48,362.48,13524078
2014-02-04,361.62,367.79,357.57,366.39,366.39,2183956
2014-02-05,368.84,373.3,361.7,369.55,369.55,2258444
2014-02-06,367.34,375.84,360.52,370.28,370.28,8731568
2014-02-07,371.01,373.56,365.92,366.87,366.87,7860699
2014-02-10,364.26,367.67,358.99,363.58,363.58,16533792
2014-02-11,365.19,373.44,363.55,369.73,369.73,17040511
2014-02-12,367.45,371.82,361.24,363.43,363.43,17637425
2014-02-13,361.8,364.31,358.56,359.14,359.14,11875132
2014-02-14,357.76,362.78,356.51,360.43,360.43,12191031
2014-02-17,359.29,363.23,356.54,360.2,360.2,12384760
2014-02-18,360.01,364.97,356.89,363.0,363.0,9820865
2014-02-19,361.13,363.46,357.1,359.08,359.08,8994127
2014-02-20,361.26,367.65,360.83,365.43,365.43,5183411
2014-02-21,367.11,369.03,359.51,365.32,365.32,6497633
2014-02-24,366.44,377.77,364.26,371.61,371.61,6185324
2014-02-25,369.55,370.73,367.72,369.88,369.88,3065130
2014-02-26,371.11,380.28,368.08,374.39,374.39,16777180
2014-02-27,374.68,383.02,367.85,379.65,379.65,10531116
2014-02-28,377.95,388.01,371.7,383.57,383.57,5525209
2014-03-03,384.86,395.1,384.33,389.79,389.79,6483151
2014-03-04,387.81,390.97,380.67,387.97,387.97,16010049
2014-03-05,389.31,392.61,388.79,391.74,391.74,17253209
2014-03-06,389.69,390.23,378.8,385.63,385.63,13024165
2014-03-07,388.22,392.6,386.61,388.43,388.43,12321310
2014-03-10,388.38,394.53,387.14,388.59,388.59,18290581
2014-03-11,390.27,395.58,379.74,386.15,386.15,15062650
2014-03-12,384.59,386.15,378.96,381.45,381.45,3301019
2014-03-13,380.08,387.49,372.39,377.22,377.22,17116942
2014-03-14,376.85,381.67,370.7,378.36,378.36,15893073
2014-03-17,375.49,386.09,373.38,380.95,380.95,14917390
2014-03-18,378.62,386.36,375.71,384.2,384.2,9010635
2014-03-19,381.7,385.57,378.7,379.22,379.22,8112436
2014-03-20,380.77,383.84,376.25,377.94,377.94,15595369
2014-03-21,380.0,387.24,372.87,377.43,377.43,8579790
2014-03-24,380.22,381.54,377.72,381.14,381.14,18818809
2014-03-25,381.69,386.72,375.1,380.37,380.37,18418740
2014-03-26,378.43,382.53,369.82,376.59,376.59,6229924
2014-03-27,374.7,382.64,368.8,377.3,377.3,4416249
2014-03-28,374.49,379.55,373.77,377.43,377.43,15842943
2014-03-31,378.57,385.97,371.36,376.49,376.49,16862340
2014-04-01,374.78,378.47,372.0,377.34,377.34,12599204
2014-04-02,378.82,386.26,371.94,375.56,375.56,18996263
2014-04-03,375.55,384.75,374.15,378.55,378.55,15149702
2014-04-04,378.36,381.7,371.86,379.01,379.01,12326939
2014-04-07,380.15,389.02,373.83,383.01,383.01,10713230
2014-04-08,381.77,385.58,374.95,382.68,382.68,2178921
2014-04-09,383.33,389.02,375.81,386.01,386.01,11585019
2014-04-10,387.78,394.74,378.24,385.96,385.96,19457845
2014-04-11,385.21,388.15,379.45,384.42,384.42,19094084
2014-04-14,383.57,388.27,375.32,379.8,379.8,4739924
2014-04-15,382.12,384.18,374.39,378.05,378.05,19938927
2014-04-16,376.57,379.56,372.41,378.67,378.67,16398022
2014-04-17,381.39,386.01,371.94,376.26,376.26,2720004
2014-04-18,378.69,380.75,373.64,376.86,376.86,12490167
2014-04-21,377.37,378.28,371.99,374.16,374.16,2872226
2014-04-22,372.22,375.82,364.36,367.98,367.98,15332768
2014-04-23,365.2,374.22,362.66,367.83,367.83,9793113
2014-04-24,369.18,376.39,363.45,368.56,368.56,17471440
2014-04-25,369.37,372.95,367.54,369.36,369.36,5501265
2014-04-28,368.83,375.99,365.23,367.41,367.41,13389253
2014-04-29,370.24,378.59,366.97,372.89,372.89,7913723
2014-04-30,371.57,375.99,369.66,370.8,370.8,14645832
2014-05-01,373.19,375.51,369.45,371.22,371.22,9861461
2014-05-02,371.71,372.47,366.6,370.42,370.42,18170404
2014-05-05,372.4,379.0,367.03,373.25,373.25,2794809
2014-05-06,371.79,376.63,371.39,372.67,372.67,18530019
2014-05-07,374.52,378.89,363.23,369.81,369.81,5902862
2014-05-08,372.09,381.58,368.11,377.43,377.43,11652851
2014-05-09,376.65,379.52,374.91,375.99,375.99,6028373
2014-05-12,378.62,383.26,376.62,382.63,382.63,17398128
2014-05-13,383.02,387.91,378.74,380.96,380.96,2651327
2014-05-14,383.36,386.01,377.93,380.55,380.55,9046418
2014-05-15,381.24,386.94,376.26,380.34,380.34,19377851
2014-05-16,379.91,383.55,374.45,378.65,378.65,2053043
2014-05-19,378.07,386.51,374.13,382.6,382.6,12110263
2014-05-20,385.21,391.47,382.05,390.43,390.43,2316774
2014-05-21,393.52,404.01,387.22,397.71,397.71,18156149
2014-05-22,396.42,398.37,390.51,394.16,394.16,12402544
2014-05-23,396.83,409.7,391.83,402.72,402.72,7226853
2014-05-26,404.67,412.0,394.82,400.48,400.48,8379815
2014-05-27,397.34,404.84,390.85,392.61,392.61,9113785
2014-05-28,390.74,394.07,385.82,386.69,386.69,3197897
2014-05-29,388.7,398.06,382.55,393.95,393.95,6985710
2014-05-30,391.61,397.29,384.54,390.85,390.85,14849802
2014-06-02,390.68,395.45,386.1,390.78,390.78,15784521
2014-06-03,388.9,391.53,382.62,390.23,390.23,14733616
2014-06-04,393.08,395.04,385.01,389.49,389.49,15632243
2014-06-05,388.17,389.01,376.12,382.67,382.67,9857370
2014-06-06,384.31,391.42,372.11,379.48,379.48,18109583
2014-06-09,382.33,386.42,376.22,379.07,379.07,8263604
2014-06-10,377.76,382.62,373.29,379.62,379.62,12741693
2014-06-11,379.9,384.3,373.38,377.33,377.33,18054661
2014-06-12,374.97,384.3,371.62,377.61,377.61,11811274
2014-06-13,379.47,386.93,372.94,376.2,376.2,19495077
2014-06-16,379.0,380.55,373.74,374.56,374.56,3856151
2014-06-17,374.27,376.88,370.91,373.51,373.51,9966807
2014-06-18,372.37,373.73,370.77,372.22,372.22,7220939
2014-06-19,374.98,379.63,365.87,372.58,372.58,11636300
2014-06-20,372.66,377.41,366.31,374.31,374.31,13799555
2014-06-23,376.23,383.9,373.24,378.03,378.03,14702165
2014-06-24,378.05,380.67,376.34,379.63,379.63,14810288
2014-06-25,380.08,383.84,373.24,381.43,381.43,6496229
2014-06-26,384.35,388.77,378.76,379.56,379.56,12347164
2014-06-27,381.11,389.5,378.05,386.66,386.66,16240863
2014-06-30,385.28,391.25,378.08,385.02,385.02,19053857
2014-07-01,385.2,392.23,383.66,384.04,384.04,6077667
2014-07-02,386.38,388.99,380.86,385.44,385.44,8089295
2014-07-03,384.37,386.45,379.7,382.17,382.17,3362247
2014-07-04,379.86,386.51,378.94,379.7,379.7,11975134
2014-07-07,379.43,381.86,371.41,374.35,374.35,19204146
2014-07-08,371.7,378.3,369.71,374.93,374.93,10471132
2014-07-09,377.35,383.36,376.85,379.03,379.03,16838303
2014-07-10,378.36,387.21,376.13,383.72,383.72,4000976
2014-07-11,386.6,388.22,379.42,382.26,382.26,14210328
2014-07-14,384.9,389.5,381.75,383.74,383.74,4083682
2014-07-15,384.08,396.64,378.71,389.5,389.5,10733549
2014-07-16,390.81,396.08,382.35,389.84,389.84,9677650
2014-07-17,389.21,393.78,385.0,385.6,385.6,2388109
2014-07-18,383.92,387.9,379.64,385.87,385.87,5545453
2014-07-21,385.59,390.94,382.34,388.75,388.75,19446121
2014-07-22,387.05,391.85,382.58,389.45,389.45,9387375
2014-07-23,388.37,394.85,386.34,390.38,390.38,7001704
2014-07-24,389.28,390.56,379.83,385.05,385.05,2720067
2014-07-25,385.19,386.83,377.58,383.57,383.57,6886817
2014-07-28,385.59,388.95,383.45,384.74,384.74,17730772
2014-07-29,387.23,388.11,376.02,382.4,382.4,3964539
2014-07-30,380.12,383.73,369.43,376.39,376.39,4229747
2014-07-31,374.1,376.86,367.92,374.66,374.66,8068277
2014-08-01,374.29,374.87,364.03,368.83,368.83,12024319
2014-08-04,366.29,369.76,361.18,366.39,366.39,15443975
2014-08-05,366.87,367.41,361.47,366.98,366.98,11028781
2014-08-06,369.61,380.44,362.92,374.98,374.98,6685332
2014-08-07,376.9,383.82,375.04,380.98,380.98,10626161
2014-08-08,380.58,383.87,371.7,376.04,376.04,4152597
2014-08-11,376.89,383.9,372.39,374.52,374.52,6117796
2014-08-12,372.85,382.93,367.52,376.28,376.28,7203682
2014-08-13,376.16,377.81,369.45,376.88,376.88,19256195
2014-08-14,375.37,381.08,366.5,370.62,370.62,12060183
2014-08-15,369.57,371.22,364.12,366.9,366.9,5906091
2014-08-18,368.08,374.09,366.1,369.38,369.38,13794685
2014-08-19,372.03,376.51,367.34,373.99,373.99,5455914
2014-08-20,373.49,380.71,368.26,375.7,375.7,16396652
2014-08-21,374.57,379.49,369.41,376.66,376.66,9626358
2014-08-22,375.41,381.45,371.86,377.55,377.55,4539587
2014-08-25,378.37,387.7,371.58,383.7,383.7,3378326
2014-08-26,385.98,389.72,378.86,382.92,382.92,15522515
2014-08-27,382.49,387.43,372.48,379.66,379.66,12916255
2014-08-28,378.6,390.64,377.36,383.27,383.27,15421435
2014-08-29,385.15,387.51,381.19,386.2,386.2,10308996
2014-09-01,383.19,391.52,376.24,387.53,387.53,8400680
2014-09-02,387.97,390.24,383.52,389.28,389.28,2578823
2014-09-03,389.35,398.65,385.67,393.18,393.18,8736264
2014-09-04,396.23,403.45,393.83,396.25,396.25,5545636
2014-09-05,398.21,407.91,395.51,401.65,401.65,16079514
2014-09-08,404.61,406.05,401.92,403.8,403.8,18733817
2014-09-09,404.55,414.85,401.04,407.35,407.35,3897386
2014-09-10,404.1,404.71,396.81,398.81,398.81,15735289
2014-09-11,400.24,412.67,396.94,404.77,404.77,4104907
2014-09-12,405.51,413.58,394.67,399.56,399.56,12541387
2014-09-15,400.19,403.74,388.53,395.81,395.81,9432068
2014-09-16,393.65,404.31,392.27,398.98,398.98,4531091
2014-09-17,400.74,408.68,397.56,399.96,399.96,16703857
2014-09-18,398.08,406.08,397.55,400.73,400.73,10715467
2014-09-19,398.52,407.67,392.62,400.24,400.24,13597814
2014-09-22,397.84,401.06,390.87,398.0,398.0,19603001
2014-09-23,395.2,401.07,387.76,397.91,397.91,13519506
2014-09-24,396.51,402.08,392.07,400.63,400.63,6064920
2014-09-25,399.1,404.07,393.5,403.61,403.61,17245478
2014-09-26,401.49,406.93,396.58,402.0,402.0,15985731
2014-09-29,399.39,401.04,395.07,396.03,396.03,13667061
2014-09-30,394.92,404.56,393.18,399.31,399.31,3687554
2014-10-01,400.57,413.31,395.14,405.35,405.35,11191760
2014-10-02,404.52,408.4,398.66,399.34,399.34,18980959
2014-10-03,401.34,410.18,400.6,405.08,405.08,6312358
2014-10-06,405.67,414.86,403.18,411.15,411.15,3533068
2014-10-07,408.83,416.65,400.94,404.37,404.37,15213327
2014-10-08,403.5,412.18,401.02,409.48,409.48,18202581
2014-10-09,406.8,408.59,394.73,401.87,401.87,10949031
2014-10-10,400.83,406.47,395.87,399.62,399.62,5522390
2014-10-13,402.03,409.83,394.85,405.07,405.07,8047215
2014-10-14,403.07,409.09,394.45,401.22,401.22,19345275
2014-10-15,403.25,412.41,398.84,404.96,404.96,13110395
2014-10-16,407.62,416.08,405.87,408.86,408.86,4448888
2014-10-17,408.24,410.95,404.52,406.34,406.34,12680774
2014-10-20,405.58,407.39,397.72,401.42,401.42,5924040
2014-10-21,403.18,414.97,395.74,408.66,408.66,8084563
2014-10-22,410.82,411.54,407.17,408.18,408.18,2896565
2014-10-23,408.6,415.33,403.48,410.94,410.94,17896654
2014-10-24,410.55,412.54,400.83,408.84,408.84,15658524
2014-10-27,407.06,416.73,399.95,411.11,411.11,18380774
2014-10-28,414.33,421.07,410.63,412.82,412.82,9934476
2014-10-29,416.03,416.8,405.78,410.49,410.49,16983831
2014-10-30,413.3,421.44,409.48,413.54,413.54,12824584
2014-10-31,412.3,417.2,411.86,415.09,415.09,2958189
2014-11-03,415.88,418.74,409.44,414.16,414.16,15217573
2014-11-04,414.59,420.7,411.45,411.94,411.94,14068147
2014-11-05,413.26,416.44,399.69,407.1,407.1,17186177
2014-11-06,405.15,409.2,395.59,399.93,399.93,2576040
2014-11-07,401.18,407.53,398.75,399.23,399.23,3471316
2014-11-10,400.81,404.39,395.73,399.45,399.45,13590828
2014-11-11,400.9,404.68,395.72,397.69,397.69,16192418
2014-11-12,396.05,400.46,388.32,399.02,399.02,9674752
2014-11-13,398.3,408.8,396.24,403.48,403.48,9302425
2014-11-14,403.72,415.8,398.74,409.05,409.05,19412479
2014-11-17,407.65,415.81,403.22,411.5,411.5,13328915
2014-11-18,412.77,419.83,404.41,409.99,409.99,9422399
2014-11-19,412.79,415.99,403.0,410.73,410.73,14904610
2014-11-20,413.68,418.95,409.11,416.93,416.93,4396999
2014-11-21,413.8,418.52,410.44,412.44,412.44,16083541
2014-11-24,414.72,422.88,406.72,416.76,416.76,9649961
