Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,157.96,160.64,157.75,158.78,158.78,16164966
2014-01-03,158.9,161.0,155.17,157.04,157.04,17302653
2014-01-06,157.61,160.0,154.58,158.91,158.91,2525331
2014-01-07,158.24,160.34,156.2,158.55,158.55,12681336
2014-01-08,157.78,160.55,152.68,155.48,155.48,13521259
2014-01-09,155.41,157.38,150.72,153.4,153.4,3328949
2014-01-10,154.18,154.72,151.31,152.03,152.03,9175263
2014-01-13,151.97,154.26,150.89,151.93,151.93,7550243
2014-01-14,151.29,155.45,150.36,153.42,153.42,11343043
2014-01-15,152.48,157.18,151.77,154.15,154.15,13597489
2014-01-16,155.2,155.56,154.0,154.54,154.54,14175612
2014-01-17,154.61,155.81,154.03,154.43,154.43,13689593
2014-01-20,154.0,155.1,152.62,154.06,154.06,13269085
2014-01-21,154.97,157.26,151.9,155.62,155.62,2685955
2014-01-22,155.37,158.65,153.65,156.34,156.34,11148349
2014-01-23,156.55,160.76,156.37,158.64,158.64,6086004
2014-01-24,158.38,161.4,155.48,156.78,156.78,4742966
2014-01-27,157.5,159.9,152.83,155.68,155.68,5712785
2014-01-28,156.42,158.42,153.96,156.76,156.76,15394993
2014-01-29,156.1,158.22,155.57,155.89,155.89,17723070
2014-01-30,155.86,156.8,154.29,155.8,155.8,2813157
2014-01-31,156.99,160.6,154.28,158.77,158.77,16254696
2014-02-03,159.04,162.48,157.43,160.62,160.62,3563062
2014-02-04,160.47,163.47,159.74,162.86,162.86,12225127
2014-02-05,161.68,164.23,157.92,159.63,159.63,17540347
2014-02-06,159.43,161.53,159.11,160.11,160.11,15787181
2014-02-07,160.72,162.3,157.16,159.64,159.64,12138047
2014-02-10,160.59,163.53,158.08,160.62,160.62,7297886
2014-02-11,161.64,163.99,159.82,161.77,161.77,15612100
2014-02-12,163.05,163.25,160.76,162.17,162.17,13225489
2014-02-13,162.15,164.97,161.08,164.28,164.28,3744033
2014-02-14,163.29,167.5,162.01,165.49,165.49,8159889
2014-02-17,165.37,168.19,161.4,163.17,163.17,16731991
2014-02-18,161.88,162.64,160.04,161.98,161.98,17899382
2014-02-19,161.62,164.67,159.32,161.77,161.77,6896511
2014-02-20,161.24,165.16,160.68,162.91,162.91,18415541
2014-02-21,161.84,163.35,158.61,162.98,162.98,14839187
2014-02-24,162.24,165.47,160.8,161.78,161.78,16628141
2014-02-25,161.1,163.38,158.03,162.49,162.49,15998221
2014-02-26,161.57,162.08,159.62,161.09,161.09,19288967
2014-02-27,160.46,162.19,158.07,159.38,159.38,6422039
2014-02-28,158.24,160.73,156.29,160.15,160.15,14091037
2014-03-03,159.4,162.29,157.24,158.96,158.96,3179496
2014-03-04,158.77,161.54,155.75,159.62,159.62,8512506
2014-03-05,159.75,161.15,156.09,158.27,158.27,15045179
2014-03-06,157.73,160.73,154.42,157.53,157.53,11517384
2014-03-07,157.67,159.0,154.05,157.05,157.05,13483330
2014-03-10,157.57,160.44,155.3,158.58,158.58,19625651
2014-03-11,158.35,160.6,155.43,157.04,157.04,12389805
