Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,296.13,303.34,294.67,298.22,298.22,13489587
2014-01-03,299.8,307.38,299.31,301.8,301.8,16265553
2014-01-06,299.6,304.07,294.34,300.34,300.34,17697796
2014-01-07,302.52,308.42,299.3,300.01,300.01,17484028
2014-01-08,302.1,304.97,298.46,302.27,302.27,12498566
2014-01-09,302.5,307.94,299.56,306.25,306.25,15980923
2014-01-10,305.81,307.19,303.73,304.84,304.84,16294449
2014-01-13,304.91,308.43,296.47,300.97,300.97,16962153
2014-01-14,302.79,306.04,299.68,302.9,302.9,12156848
2014-01-15,304.34,309.85,299.54,304.39,304.39,17705068
2014-01-16,304.46,305.25,296.33,301.1,301.1,6339213
2014-01-17,299.45,303.44,296.88,301.63,301.63,2849336
2014-01-20,301.65,302.32,299.46,302.01,302.01,4506124
2014-01-21,302.63,309.45,300.55,304.75,304.75,11132411
2014-01-22,303.18,306.45,297.96,304.73,304.73,6212637
2014-01-23,303.98,308.33,302.92,306.07,306.07,6125056
2014-01-24,304.29,312.78,300.29,306.68,306.68,12185753
2014-01-27,306.22,311.28,300.11,301.91,301.91,19259637
2014-01-28,303.29,310.09,301.7,306.61,306.61,2806054
2014-01-29,308.24,313.96,300.66,305.41,305.41,9336750
2014-01-30,307.26,309.67,302.49,307.59,307.59,9209202
2014-01-31,306.41,313.22,302.56,309.21,309.21,17027645
2014-02-03,310.59,316.52,303.13,306.66,306.66,19549807
2014-02-04,305.22,308.33,301.11,305.31,305.31,7220000
2014-02-05,303.4,305.11,299.33,300.32,300.32,14683141
2014-02-06,300.41,300.73,293.02,296.66,296.66,19326739
2014-02-07,295.3,300.75,290.13,292.25,292.25,8661168
2014-02-10,291.41,293.38,285.79,287.39,287.39,6040299
2014-02-11,285.24,293.48,282.57,288.88,288.88,14778445
2014-02-12,288.95,297.34,283.69,292.92,292.92,14721255
2014-02-13,292.41,298.01,291.17,295.24,295.24,16821536
2014-02-14,295.92,300.23,290.03,297.43,297.43,10272844
2014-02-17,298.81,308.11,294.37,303.1,303.1,12344996
2014-02-18,304.54,309.54,302.0,304.52,304.52,3945730
2014-02-19,306.65,314.84,303.81,309.29,309.29,3059696
2014-02-20,311.12,317.99,310.69,313.11,313.11,17568914
2014-02-21,310.92,313.38,306.22,310.13,310.13,3458836
2014-02-24,308.37,315.39,305.07,312.76,312.76,18646250
2014-02-25,311.0,313.22,303.27,307.94,307.94,4050129
2014-02-26,306.79,312.9,303.53,311.14,311.14,7481108
2014-02-27,310.59,316.11,305.3,312.58,312.58,12801653
2014-02-28,314.62,319.36,310.69,312.47,312.47,9828072
2014-03-03,310.67,313.18,301.81,306.79,306.79,7588590
2014-03-04,307.93,313.97,305.02,309.99,309.99,18730458
2014-03-05,310.87,316.68,308.87,313.93,313.93,19780463
2014-03-06,313.61,320.39,307.94,314.81,314.81,5709645
2014-03-07,314.85,318.57,308.26,312.03,312.03,9752755
2014-03-10,310.14,316.24,306.88,308.29,308.29,8832980
2014-03-11,308.98,314.09,305.76,310.76,310.76,13728822
2014-03-12,308.65,309.31,301.68,305.91,305.91,11903345
2014-03-13,303.94,306.18,298.26,301.44,301.44,8348919
2014-03-14,301.27,303.5,296.34,299.3,299.3,4520156
2014-03-17,298.35,304.03,293.74,300.82,300.82,5567688
2014-03-18,301.02,303.96,292.35,296.93,296.93,11973631
2014-03-19,294.65,297.95,290.01,291.77,291.77,9544553
2014-03-20,292.22,295.64,284.0,288.93,288.93,17016197
2014-03-21,289.88,294.68,287.11,288.46,288.46,7770375
2014-03-24,289.64,291.23,283.76,288.61,288.61,2495042
2014-03-25,288.18,293.44,282.91,286.79,286.79,13954684
2014-03-26,288.96,295.14,285.24,289.44,289.44,19372653
2014-03-27,290.63,294.87,286.98,289.77,289.77,3210875
2014-03-28,289.91,290.29,287.59,288.43,288.43,11174212
2014-03-31,289.65,291.92,285.39,289.62,289.62,14421701
2014-04-01,289.09,289.68,283.88,286.01,286.01,12059229
2014-04-02,284.35,284.9,279.93,281.76,281.76,18626165
2014-04-03,282.97,287.13,275.86,278.79,278.79,19835716
2014-04-04,279.93,283.55,274.97,279.35,279.35,16672121
2014-04-07,279.94,286.59,275.63,283.99,283.99,16773766
2014-04-08,286.02,288.14,283.39,284.14,284.14,14884461
2014-04-09,285.54,289.67,283.32,288.57,288.57,10504120
2014-04-10,286.53,292.25,283.77,284.64,284.64,8405112
2014-04-11,283.88,289.78,282.75,285.38,285.38,18541508
2014-04-14,284.68,291.62,283.84,286.46,286.46,9409750
2014-04-15,288.64,289.97,284.27,288.74,288.74,15484967
2014-04-16,289.11,291.81,287.62,288.91,288.91,2071300
2014-04-17,289.45,291.78,283.74,290.18,290.18,14822839
