Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,110.02,111.58,109.56,110.32,110.32,13610601
2014-01-03,111.1,112.36,108.36,110.43,110.43,11206457
2014-01-06,111.11,112.47,109.61,110.47,110.47,8081126
2014-01-07,111.15,112.38,110.25,111.94,111.94,13056744
2014-01-08,112.11,114.1,111.38,112.92,112.92,12892599
2014-01-09,113.21,114.66,111.53,111.77,111.77,15567273
2014-01-10,111.93,113.6,110.34,112.21,112.21,19205439
2014-01-13,111.57,112.99,110.82,111.32,111.32,6768218
2014-01-14,111.19,113.1,109.23,110.98,110.98,10718971
2014-01-15,111.29,112.16,110.95,111.64,111.64,17343943
2014-01-16,110.85,112.35,110.21,111.59,111.59,17637006
2014-01-17,111.5,112.46,110.18,111.4,111.4,14221295
2014-01-20,111.68,114.37,110.32,112.15,112.15,8163370
2014-01-21,112.2,113.99,110.53,111.72,111.72,16125662
2014-01-22,111.35,112.75,110.58,112.41,112.41,13722196
2014-01-23,111.52,112.73,109.25,111.2,111.2,13130761
2014-01-24,112.02,113.75,109.96,110.52,110.52,2569535
2014-01-27,110.47,111.07,107.96,109.88,109.88,9668446
2014-01-28,110.47,111.58,106.95,109.05,109.05,13818253
2014-01-29,109.31,110.76,108.88,110.25,110.25,3153232
2014-01-30,109.43,112.22,108.62,110.14,110.14,12169780
2014-01-31,109.52,110.31,109.04,109.29,109.29,16577872
2014-02-03,109.16,111.67,107.14,109.67,109.67,13664013
2014-02-04,109.2,109.61,106.78,108.06,108.06,13270303
2014-02-05,107.99,109.91,107.1,108.69,108.69,2021548
2014-02-06,109.11,109.81,108.44,109.65,109.65,5025561
2014-02-07,109.09,110.03,108.63,109.88,109.88,2137211
2014-02-10,110.48,112.53,109.87,110.04,110.04,16309646
2014-02-11,110.86,111.67,108.5,110.53,110.53,7980567
2014-02-12,110.51,111.29,109.31,109.67,109.67,14825244
2014-02-13,110.05,110.71,108.47,109.51,109.51,3585274
2014-02-14,109.52,112.14,107.43,110.3,110.3,8465634
2014-02-17,109.44,112.24,108.05,110.42,110.42,2296298
2014-02-18,110.22,113.88,108.83,111.78,111.78,6744327
2014-02-19,111.97,112.34,111.35,112.03,112.03,11927882
2014-02-20,112.47,113.71,112.01,112.47,112.47,7970341
2014-02-21,113.05,114.11,112.68,113.2,113.2,11934432
2014-02-24,113.06,113.9,111.49,112.4,112.4,8031312
2014-02-25,113.04,113.19,110.87,111.79,111.79,12530822
2014-02-26,111.84,113.66,110.27,110.99,110.99,14614931
2014-02-27,111.14,112.58,110.08,111.33,111.33,2575192
2014-02-28,111.59,112.67,110.1,111.5,111.5,16809000
2014-03-03,111.2,111.53,108.93,109.89,109.89,5320500
2014-03-04,109.08,109.51,106.21,108.21,108.21,19690860
2014-03-05,108.3,108.5,106.4,107.76,107.76,11996735
2014-03-06,107.71,111.18,107.29,109.2,109.2,16801372
2014-03-07,108.37,109.63,106.97,108.43,108.43,16170283
2014-03-10,107.72,108.0,104.56,106.49,106.49,18565628
2014-03-11,106.19,108.13,104.85,106.97,106.97,3796249
2014-03-12,107.45,108.61,107.13,108.11,108.11,10714200
2014-03-13,107.98,108.67,106.45,108.25,108.25,10674246
