Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,498.86,502.78,485.75,495.33,495.33,54181028
2014-01-03,491.44,499.27,483.0,494.39,494.39,113976025
2014-01-06,492.55,499.03,489.16,496.93,496.93,55707161
2014-01-07,494.72,508.74,491.71,499.17,499.17,86202662
2014-01-08,496.49,506.9,489.52,503.35,503.35,101451231
2014-01-09,504.3,513.11,496.01,509.34,509.34,34631341
2014-01-10,508.31,510.11,502.74,503.83,503.83,58450770
2014-01-13,500.54,508.72,484.83,493.57,493.57,79307609
2014-01-14,495.24,504.9,481.97,488.02,488.02,44008521
2014-01-15,486.38,498.93,483.73,491.92,491.92,89212350
2014-01-16,495.5,500.37,494.36,495.22,495.22,60464704
2014-01-17,492.96,497.85,479.1,487.57,487.57,52661012
2014-01-20,486.52,495.33,484.22,485.0,485.0,103660704
2014-01-21,481.17,489.54,473.74,483.32,483.32,96043453
2014-01-22,483.76,492.5,483.2,489.27,489.27,37070587
2014-01-23,489.29,496.78,484.92,495.4,495.4,64704217
2014-01-24,496.25,505.06,494.76,499.04,499.04,63307018
2014-01-27,502.74,512.12,499.82,504.28,504.28,108923448
2014-01-28,501.99,502.59,489.08,496.69,496.69,109672672
2014-01-29,493.58,496.91,487.81,491.52,491.52,32098160
2014-01-30,489.94,499.29,489.25,495.41,495.41,35959311
2014-01-31,492.87,502.9,490.92,497.36,497.36,53063579
2014-02-03,498.62,504.89,493.38,497.64,497.64,85198065
2014-02-04,500.22,507.91,492.85,501.85,501.85,65722358
2014-02-05,501.06,510.8,485.08,494.85,494.85,47258979
2014-02-06,495.15,504.18,487.14,488.48,488.48,50104719
2014-02-07,491.45,501.64,484.35,495.13,495.13,59435946
2014-02-10,494.48,508.7,486.76,499.07,499.07,32370639
2014-02-11,498.64,505.68,488.95,499.4,499.4,37639613
2014-02-12,497.6,498.12,493.89,497.56,497.56,46928077
2014-02-13,498.23,502.41,490.38,497.15,497.15,113080689
2014-02-14,499.86,510.74,495.04,504.01,504.01,58887884
2014-02-17,506.53,509.31,498.75,502.27,502.27,74817237
2014-02-18,500.43,516.11,493.1,506.4,506.4,52102970
2014-02-19,506.09,514.07,496.9,509.83,509.83,75279701
2014-02-20,507.05,512.59,500.33,503.66,503.66,115193632
2014-02-21,505.6,515.21,504.73,505.34,505.34,72738857
2014-02-24,504.83,517.1,497.52,508.58,508.58,55854558
2014-02-25,506.95,508.01,496.13,503.82,503.82,98474232
2014-02-26,507.45,515.42,495.29,503.02,503.02,83885724
2014-02-27,501.55,512.55,495.0,507.38,507.38,80673209
2014-02-28,505.32,511.99,496.65,500.95,500.95,30391084
2014-03-03,503.12,512.51,496.11,507.27,507.27,48585738
2014-03-04,507.17,512.07,505.75,506.73,506.73,80994436
2014-03-05,506.34,508.26,499.19,505.25,505.25,45568058
2014-03-06,503.35,504.08,492.71,496.2,496.2,109154066
2014-03-07,493.18,494.15,483.37,490.98,490.98,51167140
2014-03-10,487.91,493.56,478.64,482.54,482.54,100393139
2014-03-11,481.78,488.91,474.56,479.03,479.03,67813243
2014-03-12,481.85,483.89,470.64,475.26,475.26,97865586
2014-03-13,472.41,484.23,463.03,475.69,475.69,94500241
2014-03-14,478.81,487.21,465.07,473.15,473.15,81609792
2014-03-17,471.24,477.87,470.67,472.09,472.09,106757816
2014-03-18,475.35,477.92,469.93,472.97,472.97,110070297
2014-03-19,471.87,479.34,465.21,469.21,469.21,81609085
2014-03-20,467.58,473.5,463.24,465.05,465.05,97673425
2014-03-21,462.11,470.92,453.0,462.71,462.71,49884926
2014-03-24,459.54,462.99,448.57,454.82,454.82,66516137
2014-03-25,458.18,468.38,451.02,463.81,463.81,103173858
2014-03-26,467.08,474.07,463.66,470.01,470.01,88871414
2014-03-27,469.03,478.4,460.04,469.69,469.69,104883182
2014-03-28,473.08,486.67,472.38,479.42,479.42,56392941
2014-03-31,481.03,493.1,473.87,484.41,484.41,93509950
2014-04-01,487.03,490.37,480.59,489.78,489.78,87245373
2014-04-02,486.31,497.07,479.46,493.55,493.55,80956504
2014-04-03,496.7,500.41,487.62,497.87,497.87,106568341
2014-04-04,497.39,506.09,494.77,501.99,501.99,66932908
2014-04-07,500.16,501.27,499.3,500.6,500.6,81921089
2014-04-08,502.65,512.51,499.35,506.0,506.0,101458745
2014-04-09,506.46,512.81,493.6,502.91,502.91,44109003
2014-04-10,502.98,512.11,493.39,508.54,508.54,87955673
2014-04-11,508.44,513.09,495.57,502.14,502.14,61636725
2014-04-14,500.55,512.6,493.27,507.88,507.88,44116447
2014-04-15,505.52,507.11,500.91,503.94,503.94,97587430
2014-04-16,500.24,506.38,490.17,496.15,496.15,45677009
2014-04-17,496.25,496.91,487.13,490.1,490.1,103163010
2014-04-18,493.18,499.62,484.01,498.15,498.15,61828032
2014-04-21,500.57,512.65,497.42,503.85,503.85,46255239
2014-04-22,505.78,507.47,496.03,503.67,503.67,32225868
2014-04-23,502.14,503.15,495.84,499.77,499.77,60860465
2014-04-24,503.14,507.42,491.04,498.45,498.45,68791806
2014-04-25,495.94,506.15,490.06,498.52,498.52,30123696
2014-04-28,498.22,509.73,492.35,500.83,500.83,39994716
2014-04-29,500.49,505.68,491.8,496.53,496.53,48366730
2014-04-30,496.77,503.47,495.53,502.75,502.75,83377129
2014-05-01,505.04,516.2,498.55,507.04,507.04,91138347
2014-05-02,505.27,513.87,499.09,501.92,501.92,42333586
2014-05-05,504.69,509.92,497.6,507.52,507.52,108515276
2014-05-06,509.01,523.17,507.11,513.66,513.66,82746789
2014-05-07,514.58,530.13,512.94,521.97,521.97,85923228
2014-05-08,522.77,531.34,507.32,516.59,516.59,89446103
2014-05-09,517.74,520.31,505.44,511.7,511.7,82263114
2014-05-12,512.89,514.48,501.78,508.26,508.26,106362713
2014-05-13,504.84,509.6,493.62,497.41,497.41,104016048
2014-05-14,494.89,500.25,485.6,491.72,491.72,68439191
2014-05-15,492.91,494.68,481.41,489.1,489.1,67524867
2014-05-16,491.99,498.09,485.6,493.93,493.93,72933285
2014-05-19,491.16,502.62,484.0,494.24,494.24,115315779
2014-05-20,490.41,494.59,485.9,490.99,490.99,94137127
2014-05-21,488.75,493.53,483.38,489.04,489.04,60133871
2014-05-22,485.76,490.38,470.08,478.82,478.82,47540705
2014-05-23,475.88,479.72,466.91,478.21,478.21,84036849
2014-05-26,480.19,486.18,466.1,473.91,473.91,112442575
2014-05-27,476.56,490.41,469.64,480.84,480.84,58431821
2014-05-28,482.85,489.94,474.35,478.82,478.82,102479156
2014-05-29,481.59,485.13,473.05,476.26,476.26,51712883
2014-05-30,474.09,477.38,463.51,469.69,469.69,57299617
2014-06-02,469.52,473.08,467.32,470.84,470.84,46346972
2014-06-03,469.67,482.29,467.33,473.44,473.44,91390474
2014-06-04,471.5,471.98,463.79,466.86,466.86,100826020
2014-06-05,469.09,475.23,455.19,462.2,462.2,65060276
2014-06-06,462.97,465.84,458.56,463.79,463.79,101142381
2014-06-09,461.2,473.2,456.67,466.72,466.72,106362894
2014-06-10,469.84,479.12,468.95,473.21,473.21,43318390
2014-06-11,472.19,481.0,465.42,472.14,472.14,106515689
2014-06-12,475.78,480.45,470.47,472.76,472.76,113601311
2014-06-13,469.68,483.76,465.36,474.74,474.74,48751551
2014-06-16,474.5,483.02,462.82,472.05,472.05,119749306
2014-06-17,470.2,478.5,462.98,466.02,466.02,63462904
2014-06-18,463.51,476.61,461.63,468.35,468.35,115185139
2014-06-19,469.63,477.52,466.52,476.46,476.46,49398887
2014-06-20,480.23,495.66,477.94,486.27,486.27,78933379
2014-06-23,483.75,498.14,480.74,488.56,488.56,49780384
2014-06-24,491.46,495.13,480.32,489.07,489.07,96599124
2014-06-25,487.89,498.81,485.34,493.19,493.19,96061485
2014-06-26,494.6,498.83,479.73,489.11,489.11,38399249
2014-06-27,491.66,495.55,486.0,489.8,489.8,114965722
2014-06-30,487.3,489.25,479.73,484.41,484.41,96525729
2014-07-01,480.87,492.73,475.55,486.08,486.08,60191608
2014-07-02,487.47,492.44,484.45,487.65,487.65,116309374
2014-07-03,489.05,502.91,481.57,493.21,493.21,86981721
2014-07-04,496.56,503.93,487.06,493.89,493.89,80867720
2014-07-07,494.14,508.33,489.83,500.96,500.96,73566670
2014-07-08,504.03,507.2,500.29,502.26,502.26,116298099
2014-07-09,504.7,513.6,495.77,505.08,505.08,39250640
2014-07-10,504.81,510.26,492.77,499.25,499.25,58083224
2014-07-11,497.62,500.87,488.76,491.73,491.73,80527334
2014-07-14,491.93,493.68,482.65,490.06,490.06,96389082
2014-07-15,491.78,500.81,482.04,487.57,487.57,87679093
2014-07-16,490.21,498.74,482.89,488.08,488.08,58845652
2014-07-17,491.92,495.45,489.02,493.95,493.95,40439965
2014-07-18,491.52,492.57,482.78,485.05,485.05,78410322
2014-07-21,487.51,490.78,481.94,486.54,486.54,30756638
2014-07-22,484.29,492.58,478.02,481.5,481.5,59114605
2014-07-23,485.15,496.65,482.22,489.16,489.16,70133249
2014-07-24,490.37,496.18,487.69,492.97,492.97,106678611
2014-07-25,496.91,502.23,492.85,494.03,494.03,73846616
2014-07-28,494.52,503.82,485.43,496.85,496.85,95743139
2014-07-29,493.88,506.46,492.46,500.22,500.22,84717430
2014-07-30,501.98,511.33,497.75,499.96,499.96,36610547
2014-07-31,498.88,508.46,489.24,497.85,497.85,77582676
2014-08-01,499.89,508.97,493.72,494.74,494.74,54638496
2014-08-04,495.75,509.17,489.64,501.86,501.86,59249362
2014-08-05,500.89,516.87,494.5,507.94,507.94,74246087
2014-08-06,506.33,515.1,502.27,512.53,512.53,85466476
2014-08-07,515.27,527.49,508.48,519.92,519.92,90255480
2014-08-08,519.93,530.0,516.85,522.06,522.06,79926512
2014-08-11,519.95,525.1,510.3,515.9,515.9,87579643
2014-08-12,515.56,520.98,508.07,514.08,514.08,94542290
2014-08-13,517.01,526.1,514.19,520.37,520.37,85231439
2014-08-14,524.2,527.0,511.96,518.19,518.19,77987058
2014-08-15,515.45,525.22,499.83,509.95,509.95,101396018
2014-08-18,511.88,521.34,509.89,517.72,517.72,92207337
2014-08-19,516.99,529.36,506.98,524.26,524.26,114346902
2014-08-20,522.63,535.09,521.69,529.37,529.37,74618844
2014-08-21,526.27,536.14,518.57,526.44,526.44,97963982
