Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,49.94,50.28,48.98,49.78,49.78,19322039
2014-01-03,49.62,50.33,48.2,49.09,49.09,6022883
2014-01-06,48.77,49.73,48.31,48.96,48.96,2073133
2014-01-07,49.12,49.89,47.83,48.46,48.46,3799018
2014-01-08,48.78,49.06,48.01,48.97,48.97,5570853
2014-01-09,48.85,50.08,47.91,49.38,49.38,4281130
2014-01-10,49.22,49.59,48.48,48.94,48.94,15128566
2014-01-13,49.17,49.65,48.93,49.01,49.01,13331096
2014-01-14,49.39,50.25,48.51,49.23,49.23,11135283
2014-01-15,49.25,50.87,48.46,49.95,49.95,8695651
2014-01-16,50.33,50.83,49.17,50.11,50.11,7919461
2014-01-17,49.93,50.55,49.27,50.3,50.3,3943795
2014-01-20,50.58,51.87,49.88,51.28,51.28,17491110
2014-01-21,51.47,53.12,51.25,52.18,52.18,18165722
2014-01-22,51.84,52.44,50.57,51.56,51.56,18651598
2014-01-23,51.46,52.13,51.03,51.46,51.46,13730898
2014-01-24,51.21,52.05,51.03,51.82,51.82,7284352
2014-01-27,51.99,52.25,51.18,51.26,51.26,6679616
2014-01-28,51.46,52.29,51.22,52.21,52.21,5647067
2014-01-29,51.87,52.5,51.58,51.84,51.84,3881628
2014-01-30,52.22,53.1,51.95,52.22,52.22,16886357
2014-01-31,51.83,52.21,50.82,52.02,52.02,3252914
2014-02-03,52.26,52.95,51.99,52.48,52.48,12593832
2014-02-04,52.23,53.13,50.92,51.92,51.92,17004310
2014-02-05,51.54,52.88,50.62,52.27,52.27,19495470
2014-02-06,52.29,52.55,51.61,51.79,51.79,5643243
2014-02-07,51.7,52.93,51.54,52.24,52.24,18066233
2014-02-10,52.11,52.48,51.38,52.08,52.08,5493865
2014-02-11,52.27,52.33,51.2,51.64,51.64,7712447
2014-02-12,51.39,52.21,50.85,51.84,51.84,10247595
2014-02-13,52.06,53.65,51.77,52.62,52.62,3595277
2014-02-14,52.5,53.34,51.19,52.07,52.07,5156002
2014-02-17,51.69,52.69,51.61,52.43,52.43,2999256
2014-02-18,52.7,53.67,51.97,53.34,53.34,13009849
2014-02-19,53.4,53.89,51.69,52.64,52.64,7681584
2014-02-20,52.91,53.96,51.18,52.14,52.14,4572963
2014-02-21,51.8,52.23,50.18,51.07,51.07,7989784
2014-02-24,50.96,51.99,50.25,51.13,51.13,13897736
2014-02-25,51.34,51.99,50.87,51.08,51.08,9478579
2014-02-26,51.42,52.33,50.43,51.05,51.05,11667371
2014-02-27,51.44,51.52,50.79,51.0,51.0,15139228
2014-02-28,50.64,52.01,50.13,51.35,51.35,11236447
2014-03-03,51.18,52.84,50.41,51.86,51.86,18346726
2014-03-04,52.19,52.97,51.45,51.54,51.54,19596411
2014-03-05,51.21,52.24,50.65,51.97,51.97,17171549
2014-03-06,52.21,52.47,50.9,51.91,51.91,3590482
2014-03-07,52.01,53.58,51.85,52.57,52.57,5647363
2014-03-10,52.4,53.68,52.05,53.07,53.07,4626487
2014-03-11,53.3,54.61,52.4,53.74,53.74,16150299
2014-03-12,53.9,54.78,53.24,53.82,53.82,17373504
2014-03-13,53.54,53.61,53.27,53.43,53.43,2057932
2014-03-14,53.68,54.58,52.93,53.88,53.88,4720296
2014-03-17,53.47,54.38,52.16,53.18,53.18,6997369
2014-03-18,53.23,53.54,52.34,52.68,52.68,16626916
2014-03-19,53.09,53.19,52.03,52.7,52.7,18474482
2014-03-20,52.38,52.82,51.15,51.9,51.9,15138341
2014-03-21,51.86,52.25,51.5,52.12,52.12,19945691
2014-03-24,52.15,52.71,50.85,51.85,51.85,18416946
2014-03-25,51.89,52.84,51.76,51.83,51.83,16389164
2014-03-26,52.06,53.51,51.7,52.49,52.49,12103102
2014-03-27,52.31,52.46,51.73,52.18,52.18,10226599
2014-03-28,52.03,52.84,51.19,52.23,52.23,9237683
2014-03-31,52.51,53.97,52.2,53.3,53.3,12127491
2014-04-01,53.69,54.16,52.6,53.39,53.39,17820544
2014-04-02,53.58,54.23,53.28,53.75,53.75,12832241
