Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,101.68,102.61,100.69,101.85,101.85,16457413
2014-01-03,101.77,102.78,100.78,102.14,102.14,7953457
2014-01-06,102.95,103.11,100.94,101.75,101.75,7761006
2014-01-07,101.47,103.89,100.3,102.28,102.28,3610206
2014-01-08,102.5,103.9,101.53,103.37,103.37,14144591
2014-01-09,103.52,105.35,101.45,105.04,105.04,7461632
2014-01-10,105.65,106.73,103.68,106.36,106.36,15293600
2014-01-13,105.84,107.71,104.17,105.14,105.14,4537297
2014-01-14,105.68,107.89,103.61,106.46,106.46,6065847
2014-01-15,106.77,108.04,104.9,107.4,107.4,7202937
2014-01-16,107.29,108.87,106.9,108.01,108.01,14650536
2014-01-17,107.82,109.36,105.89,108.9,108.9,4950625
2014-01-20,108.33,109.55,108.09,108.42,108.42,10317966
2014-01-21,107.76,108.6,107.07,107.55,107.55,13244269
2014-01-22,108.24,109.3,106.11,108.28,108.28,8030217
2014-01-23,108.78,109.62,106.42,107.32,107.32,4802910
2014-01-24,107.43,109.39,107.25,107.45,107.45,6326161
2014-01-27,107.23,109.67,105.86,108.35,108.35,12018923
2014-01-28,108.1,109.26,107.19,108.44,108.44,10528777
2014-01-29,107.88,110.14,106.89,109.37,109.37,9341039
2014-01-30,109.54,111.74,109.31,110.75,110.75,8031247
2014-01-31,110.53,111.87,108.79,110.98,110.98,16393461
2014-02-03,111.23,112.6,108.73,110.49,110.49,16080788
2014-02-04,111.21,112.21,109.09,110.49,110.49,16594070
2014-02-05,109.75,111.91,109.17,110.77,110.77,17924670
2014-02-06,110.92,112.27,108.97,111.07,111.07,13237803
2014-02-07,110.38,111.54,108.59,109.63,109.63,9877312
2014-02-10,110.29,112.13,108.38,111.14,111.14,6874816
2014-02-11,111.54,114.14,109.45,112.7,112.7,12194637
2014-02-12,113.08,114.81,111.25,113.62,113.62,8907560
2014-02-13,113.99,116.18,112.52,115.56,115.56,13136569
2014-02-14,116.05,118.91,114.01,117.46,117.46,18895088
2014-02-17,116.91,118.46,115.71,117.88,117.88,7353067
2014-02-18,117.33,120.47,115.55,118.79,118.79,12913105
2014-02-19,119.03,120.04,117.6,118.16,118.16,11659914
2014-02-20,118.21,120.21,117.9,119.1,119.1,10902912
2014-02-21,119.09,121.93,118.49,120.6,120.6,4624282
2014-02-24,120.22,122.24,118.95,119.81,119.81,4239732
2014-02-25,120.14,122.21,118.78,119.77,119.77,15078011
2014-02-26,119.96,120.96,117.28,119.59,119.59,16868828
2014-02-27,120.29,120.93,117.52,119.68,119.68,4824388
2014-02-28,119.44,119.96,116.96,117.79,117.79,16209035
2014-03-03,117.35,118.33,114.72,116.15,116.15,9078719
2014-03-04,116.76,119.27,114.82,117.72,117.72,6407126
2014-03-05,118.57,120.13,117.7,118.1,118.1,19043512
2014-03-06,117.75,120.04,115.98,116.21,116.21,7186680
2014-03-07,115.6,116.52,114.14,116.26,116.26,14572284
2014-03-10,115.99,116.13,113.3,115.01,115.01,17756468
2014-03-11,114.58,116.73,112.52,113.85,113.85,11844667
2014-03-12,113.79,114.63,111.86,113.88,113.88,14119583
2014-03-13,114.29,115.25,113.84,114.81,114.81,13029798
2014-03-14,114.15,115.31,112.97,114.29,114.29,10468906
2014-03-17,114.91,116.58,113.13,113.28,113.28,18965205
2014-03-18,114.03,116.7,112.34,115.28,115.28,7955800
2014-03-19,115.16,115.7,114.77,115.53,115.53,4842689
2014-03-20,115.48,117.63,114.01,116.77,116.77,9597078
2014-03-21,116.65,116.98,114.73,116.75,116.75,18733494
2014-03-24,117.07,118.61,114.45,116.38,116.38,17574821
2014-03-25,116.38,118.58,114.86,117.88,117.88,7052144
2014-03-26,118.09,119.94,116.87,117.71,117.71,13161374
2014-03-27,117.53,119.41,115.56,117.23,117.23,4491546
2014-03-28,117.67,120.02,116.53,116.73,116.73,8046882
2014-03-31,116.14,116.83,114.26,115.61,115.61,18235260
2014-04-01,115.09,116.31,112.8,115.46,115.46,6416741
2014-04-02,114.89,116.62,114.4,116.42,116.42,9790287
2014-04-03,116.13,119.09,114.42,116.76,116.76,7510511
2014-04-04,117.33,118.98,114.42,116.16,116.16,16062144
2014-04-07,115.94,117.48,114.64,115.6,115.6,3065657
2014-04-08,115.97,119.44,114.99,117.48,117.48,18288932
2014-04-09,117.1,119.09,114.93,117.23,117.23,14363501
2014-04-10,116.99,118.67,113.92,115.28,115.28,14876079
2014-04-11,116.03,117.88,114.0,116.97,116.97,18515869
2014-04-14,116.59,118.33,113.75,114.93,114.93,17581038
2014-04-15,114.81,115.89,112.13,113.48,113.48,9752886
2014-04-16,114.0,115.81,111.03,112.39,112.39,16456241
2014-04-17,111.57,112.92,111.2,111.75,111.75,18168567
2014-04-18,112.49,113.06,111.4,111.83,111.83,4290537
2014-04-21,111.65,112.88,110.94,111.95,111.95,4427800
2014-04-22,112.45,113.21,110.94,112.2,112.2,17874733
