ticker,longName,sector,industry,marketCap,trailingPE,revenueGrowth,profitMargins,currentRatio,debtToEquity
AAPL,Apple Inc.,Technology,Consumer Electronics,3000000000000,30.5,0.08,0.25,1.07,195.0
MSFT,Microsoft Corporation,Technology,Software Infrastructure,3200000000000,35.2,0.12,0.36,1.80,47.0
NVDA,NVIDIA Corporation,Technology,Semiconductors,2200000000000,65.4,0.35,0.48,3.50,32.0
GOOGL,Alphabet Inc.,Communication Services,Internet Content and Information,1900000000000,27.1,0.11,0.22,2.10,10.0
META,Meta Platforms Inc.,Communication Services,Internet Content and Information,1200000000000,29.8,0.15,0.29,2.60,18.0
DIS,Walt Disney Company,Communication Services,Entertainment,180000000000,22.5,0.06,0.08,1.05,55.0
NFLX,Netflix Inc.,Communication Services,Entertainment,260000000000,41.2,0.13,0.18,1.20,75.0
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,170000000000,8.9,0.02,0.14,0.67,155.0
AMZN,Amazon.com Inc.,Consumer,Internet Retail,1800000000000,58.4,0.10,0.08,1.05,80.0
TSLA,Tesla Inc.,Consumer,Auto Manufacturers,700000000000,70.2,0.12,0.11,1.70,15.0
MCD,McDonald's Corporation,Consumer,Restaurants,210000000000,24.7,0.09,0.34,1.10,210.0
KO,Coca-Cola Company,Consumer,Beverages Non-Alcoholic,270000000000,25.1,0.05,0.23,1.14,165.0
PEP,PepsiCo Inc.,Consumer,Beverages Non-Alcoholic,240000000000,23.4,0.04,0.10,0.89,220.0
JPM,JPMorgan Chase and Co.,Financial Services,Banks Diversified,550000000000,13.2,0.07,0.28,0.90,140.0
BAC,Bank of America Corporation,Financial Services,Banks Diversified,310000000000,12.4,0.05,0.24,0.88,135.0
GS,Goldman Sachs Group Inc.,Financial Services,Capital Markets,140000000000,14.1,0.06,0.21,0.95,185.0
C,Citigroup Inc.,Financial Services,Banks Diversified,120000000000,10.8,0.03,0.18,0.92,170.0
WFC,Wells Fargo and Company,Financial Services,Banks Diversified,210000000000,11.7,0.04,0.20,0.91,145.0
JNJ,Johnson and Johnson,Healthcare,Drug Manufacturers General,380000000000,16.4,0.05,0.21,1.25,45.0
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers General,160000000000,13.6,-0.02,0.12,1.30,62.0
MRK,Merck and Co. Inc.,Healthcare,Drug Manufacturers General,330000000000,18.8,0.07,0.27,1.45,70.0
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers General,310000000000,17.9,0.04,0.22,0.93,410.0
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,460000000000,21.3,0.09,0.06,0.82,78.0
XOM,Exxon Mobil Corporation,Energy,Oil and Gas Integrated,480000000000,14.8,0.06,0.09,1.35,20.0
CVX,Chevron Corporation,Energy,Oil and Gas Integrated,290000000000,13.9,0.05,0.10,1.28,18.0
COP,ConocoPhillips,Energy,Oil and Gas Exploration and Production,140000000000,12.7,0.04,0.17,1.40,35.0
CAT,Caterpillar Inc.,Industrials,Farm and Heavy Construction Machinery,170000000000,15.1,0.08,0.16,1.40,210.0
BA,Boeing Company,Industrials,Aerospace and Defense,120000000000,-15.0,0.07,-0.03,1.10,-350.0
GE,GE Aerospace,Industrials,Aerospace and Defense,180000000000,32.0,0.11,0.14,1.25,95.0
HON,Honeywell International Inc.,Industrials,Specialty Industrial Machinery,135000000000,24.3,0.06,0.15,1.30,85.0
