costat,curcd,datafmt,indfmt,consol,tic,datadate,gvkey,conm,fyr,fic,seq,ni,nit,prcc_f
A,USD,STD,INDL,C,AAPL,2013-09-30,001690,APPLE INC,9,USA,123549.0000,37037.0000,,476.750000000000
A,USD,STD,INDL,C,AAPL,2010-09-30,001690,APPLE INC,9,USA,47791.0000,14013.0000,,283.750000000000
A,USD,STD,INDL,C,AAPL,2011-09-30,001690,APPLE INC,9,USA,76615.0000,25922.0000,,381.320000000000
A,USD,STD,INDL,C,AAPL,2012-09-30,001690,APPLE INC,9,USA,118210.0000,41733.0000,,667.105000000000
A,USD,STD,INDL,C,AAPL,2014-09-30,001690,APPLE INC,9,USA,111547.0000,39510.0000,,100.750000000000
A,USD,STD,INDL,C,AAPL,2015-09-30,001690,APPLE INC,9,USA,119355.0000,53394.0000,,110.300000000000
A,USD,STD,INDL,C,AAPL,2016-09-30,001690,APPLE INC,9,USA,128249.0000,45687.0000,,113.050000000000
A,USD,STD,INDL,C,AAPL,2017-09-30,001690,APPLE INC,9,USA,134047.0000,48351.0000,,154.120000000000
A,USD,STD,INDL,C,AAPL,2018-09-30,001690,APPLE INC,9,USA,107147.0000,59531.0000,,225.740000000000
A,USD,STD,INDL,C,AAPL,2019-09-30,001690,APPLE INC,9,USA,90488.0000,55256.0000,,223.970000000000
A,USD,STD,INDL,C,AAPL,2020-09-30,001690,APPLE INC,9,USA,65339.0000,57411.0000,,115.810000000000
A,USD,STD,INDL,C,AAPL,2021-09-30,001690,APPLE INC,9,USA,63090.0000,94680.0000,,141.500000000000
A,USD,STD,INDL,C,AAPL,2022-09-30,001690,APPLE INC,9,USA,50672.0000,99803.0000,,138.200000000000
A,USD,STD,INDL,C,AAPL,2023-09-30,001690,APPLE INC,9,USA,62146.0000,96995.0000,,171.210000000000
A,USD,STD,INDL,C,AAPL,2024-09-30,001690,APPLE INC,9,USA,56950.0000,93736.0000,,233.000000000000
A,USD,STD,INDL,C,AAPL,2025-09-30,001690,APPLE INC,9,USA,73733.0000,112010.0000,,254.630000000000
A,USD,STD,INDL,C,ABBV,2010-12-31,016101,ABBVIE INC,12,USA,15702.9990,4177.8660,,
A,USD,STD,INDL,C,ABBV,2011-12-31,016101,ABBVIE INC,12,USA,12223.7130,3433.1280,,
A,USD,STD,INDL,C,ABBV,2012-12-31,016101,ABBVIE INC,12,USA,3363.0000,5275.0000,,34.160000000000
A,USD,STD,INDL,C,ABBV,2013-12-31,016101,ABBVIE INC,12,USA,4492.0000,4128.0000,,52.810000000000
A,USD,STD,INDL,C,ABBV,2014-12-31,016101,ABBVIE INC,12,USA,1742.0000,1774.0000,,65.440000000000
A,USD,STD,INDL,C,ABBV,2015-12-31,016101,ABBVIE INC,12,USA,3945.0000,5144.0000,,59.240000000000
A,USD,STD,INDL,C,ABBV,2016-12-31,016101,ABBVIE INC,12,USA,4636.0000,5953.0000,,62.620000000000
A,USD,STD,INDL,C,ABBV,2017-12-31,016101,ABBVIE INC,12,USA,5097.0000,5309.0000,,96.710000000000
A,USD,STD,INDL,C,ABBV,2018-12-31,016101,ABBVIE INC,12,USA,-8446.0000,5687.0000,,92.190000000000
A,USD,STD,INDL,C,ABBV,2019-12-31,016101,ABBVIE INC,12,USA,-8172.0000,7882.0000,,88.540000000000
A,USD,STD,INDL,C,ABBV,2020-12-31,016101,ABBVIE INC,12,USA,13076.0000,4616.0000,,107.150000000000
A,USD,STD,INDL,C,ABBV,2021-12-31,016101,ABBVIE INC,12,USA,15408.0000,11542.0000,,135.400000000000
A,USD,STD,INDL,C,ABBV,2022-12-31,016101,ABBVIE INC,12,USA,17254.0000,11836.0000,,161.610000000000
A,USD,STD,INDL,C,ABBV,2023-12-31,016101,ABBVIE INC,12,USA,10360.0000,4863.0000,,154.970000000000
